Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogółem zł
359;podkarpackie;brzozowski;Gmina;Brzozów;Brzozów, ul. Legionistów 3;Budowa kompleksu lekkoatletycznego;783200
360;podkarpackie;brzozowski;Gmina;Dydnia;Dydnia;Przebudowa boiska do piłki ręcznej i wielofunkcyjnego;190000
361;podkarpackie;brzozowski;Gmina;Haczów;Jabłonica Polska, Malinówka;Budowa 2 boisk wielofunkcyjnych;340100
362;podkarpackie;brzozowski;Gmina;Haczów;Trześniów;Remont budynku zaplecza szatniowego przy obiekcie stadionu LKS;114200
363;podkarpackie;brzozowski;Gmina;Nozdrzec;Wara 247;Przebudowa mini boiska piłkarskiego;119600
364;podkarpackie;dębicki;Gmina;Dębica;Stasiówka, Paszczyna, Brzeźnica;Przebudowa 3 boisk wielofunkcyjnych;226900
365;podkarpackie;dębicki;Gmina Miasta;Dębica;Dębica, ul. Piłsudskiego 19;Remont zaplecza sanitarno-szatniowego zespołu basenów ;115100
366;podkarpackie;jarosławski;Gmina;Jarosław;Pełkinie;Budowa boiska wielofunkcyjnego;120000
367;podkarpackie;jarosławski;Gmina Miejska;Jarosław;"Jarosław, Ogródek Jordanowski w Parku  im. Bohaterów Monte Cassino;  os. Pułaskiego; os. Prośbów; os. Kopernika; os. Słoneczne, os. Sterańczaka; ul. Starosanowa";Budowa, modernizacja parku wspinaczkowego oraz budowa lub modernizacja 3 boisk wielofunkcyjnych, boiska piłkarskiego, 6 placów zabaw i 2 siłowni zewnętrznych;600000
368;podkarpackie;jarosławski;Gmina;Pawłosiów;Cieszacin Wielki, Wierzbna, Kidałowice;Modernizacja boisk piłkarskich;150000
369;podkarpackie;jarosławski;Gmina;Pruchnik;Kramarzówka 98;Budowa sali gimnastycznej;400000
370;podkarpackie;jasielski;Miasto;Jasło;Jasło, osiedla: Gamrat, Sobniów, ul. Śniadeckich, ul. Sikorskiego - MOSiR;Przebudowa, remont, wyposażenie boiska piłkarskiego, remont Orlika (wymiana sztucznej nawierzchni 2 boisk), wyposażenie obiektów w sprzęt sportowy;656100
371;podkarpackie;jasielski;Gmina;Skołyszyn;Skołyszyn, Harklowa;Budowa 2 boisk wielofunkcyjnych przyszkolnych;432500
372;podkarpackie;jasielski;Gmina;Tarnowiec;Łubno Szlacheckie, Tarnowiec, Umieszcz;Budowa 3 boisk wielofunkcyjnych;496000
373;podkarpackie;kolbuszowski;Gmina;Cmolas;Hadykówka, Ostrowy Baranowskie;Budowa 2 placów zabaw oraz siłowni zewnętrznej;100000
374;podkarpackie;kolbuszowski;Gmina;Dzikowiec;Wilcza Wola, ul. Rzeszowska 1;Budowa boiska piłkarskiego ;418900
375;podkarpackie;kolbuszowski;Gmina;Majdan Królewski;"Wola Rusinowska; Brzostowa Góra; Komorów";"Budowa; 2 x przebudowa boiska wielofunkcyjnego i przebudowa 2 boisk wielofunkcyjnych";379000
376;podkarpackie;krośnieński;Gmina;Korczyna;Korczyna, ul. Aleksandra Fredry 2;Budowa kompleksu lekkoatletycznego;713000
377;podkarpackie;krośnieński;Gmina;Krościenko Wyżne;Krościenko Wyżne, ul. Szkolna;Przebudowa boiska wielofunkcyjnego;205980
378;podkarpackie;krośnieński;Inny;Zgromadzenie Świętego Michała Archanioła;Miejsce Piastowe;Budowa infrastruktury sportowej (boisko piłkarskie, boisko wielofunkcyjne, rzutnia do pchnięcia kulą, bieżnia prosta 2-torowa do biegów na 100 m, skocznia do skoku w dal, remont zaplecza sportowego);300000
379;podkarpackie;leski;Gmina;Lesko;Lesko, ul. Bieszczadzka;Budowa budynku zaplecza socjalno-sanitarnego i magazynowego przy kompleksie sportowym;400000
380;podkarpackie;leski;Gmina;Lesko;Bezmiechowa Górna;Przebudowa boiska piłkarskiego;189700
381;podkarpackie;leżajski;Gmina;Leżajsk;Biedaczów 72;Budowa sali gimnastycznej;639300
382;podkarpackie;lubaczowski;Gmina Miejska;Lubaczów;Lubaczów, ul. Kościuszki;Budowa krytej pływalni;3177200
383;podkarpackie;lubaczowski;Gmina;Lubaczów;Krowica Hołodowska 32;Modernizacja, budowa, remont boiska piłkarskiego, budowa boiska piłkarskiewgo treningowego i boiska wielofunkcyjnego wraz z placem zabaw i remont budynku zaplecza sanitarno-szatniowego;600000
384;podkarpackie;lubaczowski;Gmina;Lubaczów;Młodów, Lisie Jamy;Budowa, przebudowa zaplecza socjalno-sanitarnego i przebudowa boiska piłkarskiego;300000
385;podkarpackie;lubaczowski;Gmina;Narol;Narol, ul. Graniczna;Budowa kompleksu lekkoatletycznego;251300
386;podkarpackie;lubaczowski;Gmina;Stary Dzików;Stary Dzików, ul. Kosocińskiego;Przebudowa boiska piłkarskiego oraz bieżni prostej;572300
387;podkarpackie;łańcucki;Gmina;Czarna;Czarna, Dąbrówki, Krzemienica, Medynia Głogowska, Medynia Łańcucka, Zalesie;Budowa 5 wielofunkcyjnych boisk przyszkolnych, bieżni okrężnej 3 torowej o długości 200 m wraz ze skocznią w dal oraz remont 2 sal gimnastycznych ;1250000
388;podkarpackie;łańcucki;Gmina;Czarna;Dąbrówski;Przebudowa boiska piłkarskiego;256400
389;podkarpackie;m. Krosno;Gmina Miasto;Krosno;Krosno, ul. Składowa, ul. Bursaki, ul. Paderewskiego;Budowa, przebudowa zaplecza socjalno-sanitarnego przy boisku oraz przebudowa 2 boisk wielofunkcyjnych;470700
390;podkarpackie;m. Krosno;Gmina Miasto;Krosno;Krosno, ul. S. Kisielewskiego 18;Budowa hali sportowej;1566000
391;podkarpackie;m. Krosno;Gmina Miasto;Krosno;Krosno, ul. Rzeszowska 10;Budowa boiska wielofunkcyjnego;274500
392;podkarpackie;m. Krosno;Gmina Miasto;Krosno;Krosno, ul. Rzeszowska 10;Budowa kompleksu lekkoatletycznego oraz boiska piłkarskiego;600000
393;podkarpackie;m. Przemyśl;Gmina Miejska;Przemyśl;Przemyśl, ul. Bohaterów Getta 20-22, Kopernika 14, Focha, Wybrzeże Jana Pawła II;Budowa 2 boisk wielofunkcyjnych oraz 2 parków sportowych;394000
394;podkarpackie;m. Tarnobrzeg;Gmina;Tarnobrzeg;Tarnobrzeg, ul. Św. Barbary 1B;Budowa boiska wielofunkcyjnego;115100
395;podkarpackie;m. Tarnobrzeg;Gmina;Tarnobrzeg;Tarnobrzeg, Al.. Niepodlelości 2;Remont hali sportowo-widowiskowej MOSiR;529400
396;podkarpackie;mielecki;Gmina Miejska;Mielec;Mielec, ul. Solskiego i ul. Baczyńskiego;Budowa 2 boisk (wielofunkcyjnego i piłkarskiego), placu zabaw, skateparku i parkouru;900000
397;podkarpackie;mielecki;Gmina;Mielec;Rędzianowice;Budowa sali gimnastycznej;240900
398;podkarpackie;mielecki;Gmina Miejska;Mielec;Mielec, ul.Solskiego;Modernizacja, budowa 2 boisk do piłki nożnej i budowa siłowni plenerowej;2000000
399;podkarpackie;mielecki;Gmina Miejska;Mielec;Mielec, ul. Żeromskiego 30;Budowa hali sportowej;1216500
400;podkarpackie;mielecki;Gmina;Tuszów Narodowy;Tuszów Narodowy;Budowa kortu tenisowego, boiska do gry w badmintona oraz siłowni plenerowej;141900
401;podkarpackie;mielecki;Gmina;Tuszów Narodowy;Malinie;Budowa kompleksu lekkoatletycznego;400000
402;podkarpackie;niżański;Gmina;Jeżowe;Jeżowe ;Budowa 2 boisk wielofunkcyjnych;450000
403;podkarpackie;niżański;Gmina i Miasto;Nisko;Nisko, ul. Chopina, ul. Sopocka, ul. H. Dąbrowskiego;Budowa 2 boisk wielofunkcyjnych, 2 siłowni zewnętrznych, budowa 3 placów zabaw, bieżni 4-torowej prostej, skoczni do skoku w dal, rzutni do pchnięcia kulą;400000
404;podkarpackie;niżański;Gmina i Miasto;Nisko;Zarzecze, ul. Mickiewicza;Budowa sali gimnastycznej;1000000
405;podkarpackie;niżański;Powiat;Niżański;Rudnik nad Sanem, ul. Marsz. J. Piłsudskiego;Budowa boiska wielofunkcyjnego, placu zabaw i siłowni zewnętrznej;367400
406;podkarpackie;niżański;Powiat;Niżański;Rudnik nad Sanem, ul. Piłsudskiego 9;Remont sali gimnastycznej z zapleczem;138300
407;podkarpackie;niżański;Gmina i Miasto;Rudnik nad Sanem;Przędzel, ul. Mickiewicza 149;Budowa sali gimnastycznej;600000
408;podkarpackie;niżański;Gmina i Miasto;Rudnik nad Sanem;Rudnik nad Sanem, ul. Kończycka 3;Budowa boiska wielofunkcyjnego, placu zabaw, siłowni zewnętrznej;325800
409;podkarpackie;niżański;Gmina i Miasto;Ulanów;Bieliny, Wólka Tanewska;Przebudowa dachu Sali gimnastycznej przy SP oraz modernizacja 3 boisk piłkarskich o nawierzchni z naturlanej trawy (2 boiska w Bielinach i 1 w Wólce Wanewskiej);340000
410;podkarpackie;przemyski;Gmina;Fredropol;Huwniki;Budowa sali gimnastycznej;600000
411;podkarpackie;przemyski;Stowarzyszenie;"Przemyski Klub Sportu i Rekreacji Niewidomych i Słabowidzących ""Podkarpacie""";Przemyśl, ul. Mickiewicza 20;Remont strzelnicy sportowej;23950
412;podkarpackie;przeworski;Gmina;Sieniawa;Leżachów, Czerwona Wola, Rudka, Wylewa;Budowa 4 boisk wielofunkcyjnych;852200
413;podkarpackie;przeworski;Gmina;Sieniawa;Sieniawa, ul. Rynek 4;Budowa hali sportowej;2461600
414;podkarpackie;ropczycko-sędziszowski;Gmina;Wielopole Skrzyńskie;Broniszów, Nawsie;Budowa 2 boisk wielofunkcyjnych wraz z siłowniami terenowymi ;774800
415;podkarpackie;rzeszowski;Gmina;Głogów Małopolski;"Głogów Młp., ul. Fabryczna 10; Budy Głogowskie";Modernizacja boiska piłkarskiego i zaplecza socjalno-sanitarnego, modernizacja boiska;200000
416;podkarpackie;rzeszowski;Gmina Miasto;Rzeszów;Rzeszów, ul. Hetmańska 69;Modernizacja hali sportowej;1470400
417;podkarpackie;rzeszowski;Gmina Miasto;Rzeszów;Rzeszów, ul. Kamińskiego 12, ul. Staroniwska 55, ul. Beskidzka 5, ul. Hetmańska 120;Budowa 5 boisk wielofunkcyjnych, mini boiska do piłki nożnej, bieżni 2-torowej prostej do biegów na 60 m, 2 skoczni do skoków w dal i rzutni do pchnięcia kulą;509900
418;podkarpackie;sanocki;Gmina;Besko;Besko, ul. Kolejowa 101;Remont pomieszczeń w budynku zaplecza stadionu z przeznaczeniem na cele sportowe;150000
419;podkarpackie;sanocki;Gmina Miasta;Sanok;Sanok, ul. Żwirki i Wigury 10;Remont budynku sacjalno-administracyjnego na stadionie;389900
420;podkarpackie;stalowowolski;Gmina;Bojanów;Gwoździec;Budowa boiska wielofunkcyjnego;300000
421;podkarpackie;stalowowolski;Gmina;Bojanów;Stany;Budowa bieżni okrężnej 4-torowej o dł. 400 m, bieżni prostej 6-torowej o dł. 130 m, rzutni do pchnięcia kulą, skoczni do skoku w dal, skoczni do skoku wzwyż, boiska piłkarskiego o wym. 60 x 100 m, budynku zaplecza;1660000
422;podkarpackie;stalowowolski;Gmina;Stalowa Wola;Stalowa Wola, ul. Mickiewicza 5;Budowa boiska wielofunkcyjnego;117000
423;podkarpackie;stalowowolski;Gmina;Stalowa Wola;Stalowa Wola - Rozwadów, ul. Kusocińskiego;Budowa zaplecza socjalno-sanitarnego i siłowni plenerowej;250649
424;podkarpackie;stalowowolski;Gmina;Stalowa Wola;Stalowa Wola, ul. Hutnicza 15;Budowa boisk piłkarskich: płyty głównej, dwóch boisk treningowych i boiska treningowego z przykrycie namiotowym oraz budowa zaplecza wraz z krytą trybuną w ramach Podkarpackiego Centrum Piłki Nożnej;15000000
425;podkarpackie;stalowowolski;Powiat;Stalowowolski;Stalowa Wola, ul. Staszica 5;Przebudowa boiska piłkarskiego;500400
426;podkarpackie;stalowowolski;Powiat;Stalowowolski;Stalowa Wola, ul. 1-ego Sierpnia 26;Przebudowa i remont sali gimnastycznej;578900
427;podkarpackie;strzyżowski;Gmina;Czudec;Czudec, Nowa Wieś;Budowa boiska wielofunkcyjnego oraz boiska wielofunkcyjnego, boiska do siatkówki plażowej i siłowni zewnętrznej;300000
428;podkarpackie;strzyżowski;Gmina;Frysztak;Lubla;Budowa boiska wielofunkcyjnego;204100
429;podkarpackie;strzyżowski;Gmina;Niebylec;Gwoźnica Górna;Budowa sali gimnastycznej;1500000
430;podkarpackie;tarnobrzeski;Gmina;Baranów Sandomierski;Wola Baranowska, ul. Szkolna 4;Budowa sali gimnastycznej;900000
431;podlaskie;augustowski;Gmina Miasto;Augustów;Augustów, ul. Tartaczna 21;Budowa boiska wielofunkcyjnego, bieżni 4-torowej 60 m, skoczni do skoku w dal i siłowni zewnętrznej;420000
432;podlaskie;augustowski;Gmina;Bargłów Kościelny;Bargłów Kościelny;Budowa 3 boisk (piłkarskiego, wielofunkcyjnego i do siatkówki), bieżni 3-torowej okreżnej, bieżni 3-torowej prostej, rzutni do pchnięcia kulą, skoczni do skoku w dal i siłowni plenerowej;570000
433;podlaskie;białostocki;Gmina;Dobrzyniewo Duże;Dobrzyniewo Duże, ul. Szkolna 14;Budowa kompleksu lekkoatletycznego;250990
434;podlaskie;białostocki;Gmina;Wasilków;Wasilków, ul. Polna 1/4;Budowa boiska wielofunkcyjnego;105000
435;podlaskie;bielski;Miasto;Bielsk Podlaski;Bielsk Podlaski, ul. Wysockiego 6;Budowa 2 boisk wielofunkcyjnych;135000
436;podlaskie;bielski;Gmina;Orla;Koszele;Budowa boiska piłkarskiego, rzutni do pchnięcia kulą, skoczni do skoku w dal;148900
437;podlaskie;grajewski;Gmina;Rajgród;Rajgród;Budowa placu zabw i siłowni plenerowej;108000
438;podlaskie;hajnowski;Gmina;Narewka;Narewka, ul. Nowa 4;Przebudowa 3 boisk wielofunkcyjnych;120000
439;podlaskie;kolneński;Powiat;Kolneński;Kolno, ul. Wojska Polskiego 34;Budowa Sali gimnastycznej;1079700
440;podlaskie;kolneński;Gmina;Turośl;Łacha, Leman, Ksebki, Ptaki;Budowa 3 boisk piłkarskich i boiska wielofunkcyjnego;591200
441;podlaskie;łomżyński;Gmina;Łomża;Stara Łomża przy Szosie, Zawady, Stara Łomża nad Rzeką, Grzymały Szczepankowskie, Boguszyce, Czaplice, Puchały;Budowa 2 boisk wielofunkcyjnych oraz 5 siłowni plenerowych;170000
442;podlaskie;łomżyński;Miasto;Łomża;Łomża, ul. Mickiewicza 6;Budowa hali sportowej;2435000
443;podlaskie;łomżyński;Gmina;Piątnica;Piątnica Poduchowna, ul. Szkolna 29;Budowa boiska piłkarskiego;542900
444;podlaskie;m. Białystok;Miasto;Białystok;Białystok. ul. Broniewskiego 1;Budowa boiska wielofunkcyjnego, bieżni prostej, skoczni do skoku w dal;150000
445;podlaskie;m. Białystok;Miasto;Białystok;Białystok, ul. Rumiankowa;Budowa 2 boisk wielofunkcyjnych;180000
446;podlaskie;m. Białystok;Miasto;Białystok;Białystok, Wierzbowa 7;Budowa boiska wielofunkcyjnego i bieżni prostej 3-torowej;195000
447;podlaskie;m. Białystok;Miasto;Białystok;Białystok, ul. Grottgera 9;Budowa boiska wielofunkcyjnego;108000
448;podlaskie;m. Białystok;Miasto;Białystok;Białystok, Świętojańska 1;Budowa boiska wielofunkcyjnego;138400
449;podlaskie;m. Białystok;Miasto;Białystok;Białystok ul. Antoniuk Fabryczny 1;Budowa boiska piłkarskiego;251000
450;podlaskie;m. Białystok;Miasto;Białystok;Białystok ul. Piastowska 5;Budowa 2 boisk wielofunkcyjnych;270100
451;podlaskie;m. Białystok;Miasto;Białystok;Białystok, ul. Miodowa 5;Budowa boiska wielofunkcyjnego i kortu tenisowego;210000
452;podlaskie;m. Białystok;Miasto;Białystok;Białystok, ul. Stroma 1a;Rozbudowa i przebudowa krytej pływalni;3000000
453;podlaskie;m. Białystok;Miasto;Białystok;Białystok, ul. 11-go Listopada 28;Budowa kompleksu lekkoatletycznego;1500000
454;podlaskie;m. Białystok;Klub sportowy;"Uczniowski Klub Sportowy ""Kaliber""";Białystok, ul. Grunwaldzka 18;Remont strzelnicy sportowej;314000
455;podlaskie;m. Łomża;Miasto;Łomża;Łomża, ul. Stacha Konwy 11;Budowa boiska wielofunkcyjnego i skoczni do skoku wzwyż;229700
456;podlaskie;m. Suwałki;Miasto;Suwałki;Suwałki, ul. Zastawie;Budowa 2 kortów tenisowych;180000
457;podlaskie;m. Suwałki;Miasto;Suwałki;Suwałki, ul. Ks. Hamerszmita 11, ul. Szpitalna 66;Budowa (łącznie) 2 bieżni prostych, 2 skoczni do skoku w dal, 1 rzutni do pchnięcia kulą oraz placu zabaw;150000
458;podlaskie;m. Suwałki;Miasto;Suwałki;Suwałki, ul. Wojska Polskiego;Budowa boiska wielofunkcyjnego do sportów plażowych;95500
459;podlaskie;m. Suwałki;Miasto;Suwałki;Suwałki, ul. Antoniewicza 5;Modernizacja, budowa boiska do piłki nożnej, boiska wielofunkcyjnego, bieżni prostej 4-torowej do biegów 100 m, skoczni do skoku w dal i budowa zaplecza socjalno-szatniowego;1400538
460;podlaskie;siemiatycki;Powiat;Siemiatycki;Czartajew, ul. Długa 130;Budowa boiska wielofunkcyjnego;240000
461;podlaskie;suwalski;Gmina;Suwałki;Stary Folwark;Budowa sali gimnastycznej;1000000
462;podlaskie;wysokomazowiecki;Gmina;Nowe Piekuty;"Nowe Piekuty, ul. Główna 3; Jabłoń Kościelna , ul. Mazowiecka 1";Przebudowa, rozbudowa i remont  sal gimnastycznych;650000
463;podlaskie;zambrowski;Gmina Miasto;Zambrów;Zambrów, ul. Wyszyńskiego 8;Modernizacja, budowa Stadionu Miejskiego - etap IV - budowa budynku zaplecza socjalno-sanitarnego;550000
464;pomorskie;bytowski;Gmina;Bytów;Pomysk Wielki, Bytów, Udorpie, Rzepnica;Budowa siłowni plenerowych i placów zabaw;100000
465;pomorskie;bytowski;Gmina;Bytów;Bytów, ul. Sikorskiego 37;Przebudowa boiska wielofunkcyjnego i skoczni do skoku w dal;221100
466;pomorskie;bytowski;Gmina;Bytów;Świątkowo;Budowa kompleksu lekkoatletycznego i boiska piłkarskiego;900000
467;pomorskie;bytowski;Gmina;Czarna Dąbrówka;Jasień;Budowa boiska wielofunkcyjnego, siłowni zewnętrznej i skoczni do skoku w dal;200000
468;pomorskie;bytowski;Gmina;Tuchomie;Kramarzyny, ul. Pomorska;Budowa boiska piłkarskiego;278500
469;pomorskie;chojnicki;Gmina;Chojnice;Pawłowo, ul. Tucholska;Modernizacja, budowa boiska piłkarskiego oraz budowa boiska wielofunkcyjnego;583500
470;pomorskie;chojnicki;Gmina;Czersk;Czersk, ul. Dworcowa 8;Budowa zadaszenia rolkowiska;100000
471;pomorskie;gdański;Inny;Akademicki Związek Sportowy Zarząd Główny;Górki Zachodnie k/Gdańska ul. Stogi 20;Przykrycie, budowa halą pneumatyczną na konstrukcji drewnianej boiska wielofunkcyjnego i budowa budynku zaplecza;1050000
472;pomorskie;gdański;AWF;AWFiS im. J. Śniadeckiego w Gdańsku;Gdańsk, ul. Kazimierza Górskiego 1;Modernizacja boiska piłkarskiego;824433,26
473;pomorskie;gdański;Gmina;Cedry Wielkie;Cedry Wielkie, ul. Osadników Wojskowych 21;Budowa pełnowymiarowej hali sportowej;2500000
474;pomorskie;gdański;Gmina;Kolbudy;Pręgowo, ul. Bukowskiego 3;Budowa Sali gimnastycznej;583500
475;pomorskie;gdański;Gmina Miejska;Pruszcz Gdański;Pruszcz Gdański, ul. Kasprowicza 16;Przebudowa, boiska wielofunkcyjnego i bieżni prostej;285600
476;pomorskie;gdański;Gmina;Trąbki Wielkie;Kłodawa, ul. Szkolna 2;Budowa sali gimnastycznej i boiska wielofunkcyjnego;1000000
477;pomorskie;kartuski;Gmina;Chmielno;Chmielno, ul. Grzędzickiego 28;Przebudowa boiska wielofunkcyjnego;227000
478;pomorskie;kartuski;Gmina;Chmielno;Borzestowo 182;Budowa sali gimnastycznej wraz z łącznikiem;640100
479;pomorskie;kartuski;Inny;"Fundacja Pomocy Dzieciom Niepełnosprawnym ""Uśmiech Dziecka""";Szklana 1;Budowa krytej pływalni;500000
480;pomorskie;kartuski;Gmina;Kartuzy;Staniszewo, Prokowo, Łapalice;Modernizacja 3 boisk wielofunkcyjnych;207300
481;pomorskie;kartuski;Gmina;Kartuzy;Kartuzy, ul. 3 Maja 34;Budowa, przebudowa kompleksu lekkoatletycznego i przebudowa boiska piłkarskiego;1500000
482;pomorskie;kartuski;Gmina;Sierakowice;Tuchlino 16B;Budowa sali gimnastycznej;826200
483;pomorskie;kartuski;Gmina;Somonino;Goręczyno, ul. Szkolna 7;Budowa (2) boisk wielofunkcyjnych oraz placu zabaw;140000
484;pomorskie;kartuski;Gmina;Somonino;Goręczyno;Przebudowa boiska piłkarskiego;301800
485;pomorskie;kartuski;Stowarzyszenie;"Stowarzyszenie Rehabilitacyjno-Sportowe ""Szansa-Start Gdańsk""";Ostrów Mausz 12, 83-320 Sulęczyno;Remont boiska wielofunkcyjnego;91800
486;pomorskie;kartuski;Gmina;Żukowo;"Żukowo, ul. Gdańska 66; Pępowo; Przyjaźń, ul. Szkolna 2";Modernizacja 3 boisk wielofunkcyjnych;500300
487;pomorskie;kościerski;Gmina;Kościerzyna;Wielki Podleś, Wąglikowice, Skorzewo, Nowy Klincz, Łubiana;Budowa 5 boisk wielofunkcyjnych;730000
488;pomorskie;kwidzyński;Miasto i Gmina;Prabuty;Prabuty, ul. Władysława Jagiełły 34;Przebudowa budynku zaplecza stadionu miejskiego;360700
489;pomorskie;lęborski;Gmina;Cewice;Cewice, ul. W. Witosa;Modernizacja boiska piłkarskiego, bieżni prostej i rzutni do pchnięcia kulą;361400
490;pomorskie;lęborski;Gmina Miasto;Lębork;Lębork, ul. P. Skargi 52, Al. Wolności 31;Budowa boiska wielofunkcyjnego, kortu tenisowego, bieżni okrężnej 4-torowej przy Gimnazjum nr 2 oraz boiska wielofunkcyjnego przy ZS nr 3;350000
491;pomorskie;lęborski;Powiat;Lęborski;Lębork, ul. Marcinkowskiego 1;Budowa kompleksu lekkoatletycznego, 2 boisk wielofunkcyjnych i boiska piłkarskiego;1000000
492;pomorskie;m. Gdynia;Miasto;Gdynia;Gdynia, ul. Olimpijska;Remont dachu Hali Gier;318200
493;pomorskie;m. Gdynia;Miasto;Gdynia;Gdynia, ul. Jowisza 60;Przebudowa bieżni okrężnej 200 m 3-torowej i urządzeń lekkoatletycznych;443400
494;pomorskie;malborski;Miasto;Malbork;Malbork, ul. Toruńska 60;Budowa boiska piłkarskiego;541400
495;pomorskie;malborski;Miasto;Malbork;Malbork, ul. Hadyny 18;Budowa sali gimnastycznej z zapleczem socjalnym wraz z łącznikiem i blokiem dydaktycznym;1949800
496;pomorskie;malborski;Powiat;Malborski;Malbork, ul. Reymonta 24;Budowa sali gimnastycznej;317200
497;pomorskie;pucki;COS;COS OPO we Władysławowie;Władysławowo, ul. Żeromskiego 52;"Przebudowa systemu wentylacji w budynku internatu sportowego ""Albatros""";1207000
498;pomorskie;pucki;COS;COS OPO we Władysławowie;Władysławowo, ul. Żeromskiego 52;"Przebudowa budynku internatu sportowego ""Albatros""";3214000
499;pomorskie;pucki;COS;COS OPO we Władysławowie;Władysławowo, ul. Żeromskiego 52;Zakup klatki wyczynowej do rzutu młotem z elektrycznie opuszczaną siatką;55000
500;pomorskie;pucki;Gmina;Krokowa;Krokowa, ul. Szkolna 6;Przebudowa bieżni okrężnej 4-torowej 200 m, bieżni prostej 4-torowej 100 m, boiska piłkarskiego i budowa urządzeń lekkoatletycznych oraz zaplecza sanitarno-szatniowego;660600
501;pomorskie;pucki;Gmina Miasta;Puck;Puck, ul. Nowy Świat 12;Modernizacja boiska wielofunkcyjnego;250000
502;pomorskie;pucki;Gmina;Puck;Leśniewo, Mieroszyno, Rekowo Górne;Budowa 3 boisk wielofunkcyjnych;200000
503;pomorskie;słupski;Gmina;Kępice;Osowo;Remont boiska wielofunkcyjnego;170800
504;pomorskie;słupski;Gmina;Kępice;Korzybie;Modernizacja boiska wielofunkcyjnego;192900
505;pomorskie;słupski;Gmina;Potęgowo;Łupawa;Budowa boiska piłkarskiego, boiska wielofunkcyjnego, bieżni okrężnej 4-torowej wraz z urzadzeniami do lekkiej atletyki;238900
506;pomorskie;słupski;Stowarzyszenie;Stowarzyszenie MY DLA WAS;Przytocko;Budowa boiska wielofunkcyjnego ;110000
507;pomorskie;słupski;Stowarzyszenie;Stowarzyszenie MY DLA WAS;Przytocko 17;Budowa sali gimnastycznej;949400
508;pomorskie;starogardzki;Gmina;Lubichowo;Lubichowo;Przebudowa boiska piłkarskiego, boiska wielofunkcyjnego, bieżni okrężnej 200 m 4-torowej, bieżni prostej, skoczni do skoku w dal i rzutni do pchnięcia kulą;684400
509;pomorskie;starogardzki;Gmina;Skarszewy;Skarszewy;Budowa hali sportowej;2000000
510;pomorskie;sztumski;Gmina;Dzierzgoń;Dzierzgoń, ul. Zawadzkiego;Budowa bieżni prostej 4-torowej, rzutni do pchnięcia kulą i skoczni do skoku w dal;102900
511;pomorskie;tczewski;Gmina;Pelplin;Pelplin, ul. Sambora 5;Rozbudowa hali sportowej;1732800
512;pomorskie;tczewski;Gmina;Pelplin;Pelplin, ul. Czarnieckiego 8;Budowa kompleksu lekkoatletycznego;1462800
513;pomorskie;tczewski;Gmina Miejska;Tczew;Tczew, ul. Armi Krajowej 70;Budowa sali gimnastycznej;1000000
514;pomorskie;wejherowski;Gmina;Luzino;Luzino, ul. Szkolna;Budowa sali gimnastycznej;2000000
515;pomorskie;wejherowski;Gmina;Luzino;Luzino, ul. Mickiewicza;Modernizacja 2 boisk piłkarskich;100300
516;pomorskie;wejherowski;Województwo;Pomorskie;Wejherowo, ul. Sobieskiego 279;Budowa Sali gimnastycznej z zapleczem;2000000
517;pomorskie;wejherowski;Gmina Miasto;Reda;Reda, ul. Łąkowa 59;Przebudowa kompleksu lekkoatletycznego;1230000
518;pomorskie;wejherowski;Gmina;Szemud;"Bojanowo, ul. Wybickiego 38; Koleczkowo, ul. Wejherowska 24";Przebudowa, budowa boiska piłkarskiego i budowa bieżni prostej, skoczni do skoku w dal i rzutni kulą oraz budowa boiska wielofunkcyjnego;1244600
519;śląskie;będziński;Gmina;Bobrowniki;Rogoźnik, ul. Krupna 22;Budowa boiska wielofunkcyjnego, bieżni lekkoatletycznej prostej i placu zabaw;295000
520;śląskie;będziński;Gmina;Czeladź;Czeladź, ul. Mickiewicza;Budowa 2 kortów tenisowych, ścianki do tenisa, treningowego boiska piłkarskiego oraz boiska do piłki plażowej;114840
521;śląskie;będziński;Gmina;Czeladź;Czeladź, ul. Szkolna 6;Budowa zadaszonego boiska wielogunkcyjnego wraz z łącznikiem;254000
522;śląskie;będziński;Gmina;Wojkowice;Wojkowice, ul. Żrałków 1;Remont sali gimnastycznej;126200
523;śląskie;będziński;Gmina;Wojkowice;Wojkowice, ul. Jana III Sobieskiego 29;Budowa boiska piłkarskiego, boiska wielofunkcyjnego i placu zabaw;288000
524;śląskie;bielski;COS;COS OPO w Szczyrku;Szczyrk, ul. Plażowa 8;Przebudowa stacji transformatorowej wraz z rozdzielnikami SN oraz instalacji zaśnieżania tras narciarskich - I etap;512000
525;śląskie;bielski;COS;COS OPO w Szczyrku;Szczyrk, ul. Myśliwska 45;Przebudowa kolei linowej krzesełkowej na trasie Szczyrk - Hala Jaworzyna;26293000
526;śląskie;bielski;Gmina;Jaworze;Jaworze, ul. Wapienicka;Budowa hali sportowej;3150000
527;śląskie;bielski;Inny;Rekord Sportowa spółka akcyjna;Bielsko-Biała, ul. Startowa 13;Modernizacja boiska piłkarskiego;198000
