Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogółem zł
231;małopolskie;nowosądecki;Gmina;Kamionka Wielka;Mszalnica;Budowa sali gimnastycznej;640700
232;małopolskie;nowosądecki;Gmina;Korzenna;Korzenna, Mogilno, Siedlce, Wojnarowa;Modernizacja, rozbudowa i przebudowa 4 boisk piłkarskich oraz rozbudowa i przebudowa budynku zaplecza szatniowo-sanitarnego w Wojnarowej;588300
233;małopolskie;nowosądecki;Gmina;Korzenna;Korzenna, Mogilno;Remont bieżnie prostej i 2 sal gimnastycznych ;495800
234;małopolskie;nowosądecki;Gmina;Łącko;Zabrzeż;Budowa sali gimnastycznej;708400
235;małopolskie;nowosądecki;Miasto i Gmina Uzdrowiskowa;Muszyna;Muszyna, ul. Rynek 13;Remont boiska wielofunkcyjnego;270000
236;małopolskie;nowosądecki;Powiat;Nowosądecki;Grybów, ul. Kościuszki 18;Budowa sali gimnastycznej;1914800
237;małopolskie;nowosądecki;Gmina;Podegrodzie;Długołęka-Świerkla;Budowa sali gimnastycznej;1125000
238;małopolskie;nowosądecki;Gmina;Stary Sącz;Mostki;Budowa boiska piłkarskiego;202200
239;małopolskie;nowosądecki;Gmina;Stary Sącz;Barcice;Modernizacja, budowa boiska piłkarskiego i budowa budynku zaplecza sanitarno-szatniowego dla LKS Barciczanka;1126200
240;małopolskie;nowotarski;Gmina;Jabłonka;Chyżne;Budowa boiska wielofunkcyjnego;198800
241;małopolskie;nowotarski;Gmina;Łapsze Niżne;"Łapsze Niżne, ul. Długa 12; Frydman, ul. Szkolna 4";Budowa 2 boisk wielofunkcyjnych;200000
242;małopolskie;nowotarski;Powiat;Nowotarski;Rabka-Zdrój, ul. Kościuszki 9;Budowa sali gimnastycznej;1872900
243;małopolskie;nowotarski;Gmina;Szaflary;Bańska Niżna, ul. Papieska 141;Przebudowa, budowa boiska wielofunkcyjnego oraz budowa boiska do siatkówki;170000
244;małopolskie;olkuski;Gmina;Bukowno;Bukowno, ul. Spacerowa 1;Remont basenu odkrytego;796000
245;małopolskie;olkuski;Gmina;Bukowno;Bukowno, Ks. Zelka;Modernizacja kortów tenisowych;81300
246;małopolskie;olkuski;Gmina;Olkusz;Olkusz, ul. kpt. Hardego 11a;Budowa boiska piłkarskiego, boiska wielofunkcyjnego i bieżni prostej;505000
247;małopolskie;olkuski;Gmina;Wolbrom;Wolbrom, ul. Mariacka 28;Budowa hali sportowej;2384300
248;małopolskie;oświęcimski;Klub sportowy;Ludowy Klub Sportowy Przecieszyn;Przecieszyn, ul. Wyzwolenia 56;Przebudowa kortu tenisowego na boisko wielofunkcyjne;102000
249;małopolskie;oświęcimski;Miasto;Oświęcim;Oświęcim, ul. Słowackiego 41;Budowa hali sportowej, boiska wielofunkcyjnego i skoczni w dal  ;2500000
250;małopolskie;oświęcimski;Powiat;Oświęcimski;Oświęcim, ul. Obozowa 39;Budowa boiska wielofunkcyjnego;181900
251;małopolskie;proszowicki;Gmina;Koniusza;Niegardów;Budowa sali gimnastycznej;1215000
252;małopolskie;suski;Gmina;Stryszawa;Stryszawa 278b;Budowa hali sportowej;1900200
253;małopolskie;tarnowski;Gmina;Ciężkowice;Kąśna Dolna;Budowa boiska wielofunkcyjnego;198000
254;małopolskie;tarnowski;Gmina;Pleśna;Rzuchowa 278;Budowa boiska wielofunkcyjnego;156000
255;małopolskie;tatrzański;COS;COS OPO w Zakopanem;Zakopane, ul. Bronisława Czecha 1;Rozbudowa skoczni narciarskiej Wielka Krokiew wraz z infrastrukturą towarzyszącą;3361800
256;małopolskie;tatrzański;COS;COS OPO w Zakopanem;Zakopane, ul. Bronisława Czecha 1;Rozbudowa skoczni narciarskiej Wielka Krokiew - II etap;6112900
257;małopolskie;tatrzański;COS;COS OPO w Zakopanem;Zakopane, ul. Bronisława Czecha 1;Zakup środków trwałych - wyposażenia do nowej siłowni w hali sportowej oraz do istniejącej siłowni sportowej;400000
258;małopolskie;wadowicki;Gmina;Kalwaria Zebrzydowska;Stanisław Dolny;Budowa hali sportowej;905000
259;małopolskie;wadowicki;Gmina;Wadowice;Jaroszowice;Budowa sali gimnastycznej;837000
260;mazowieckie;białobrzeski;Gmina;Białobrzegi;Białobrzegi, ul. Rzemieślnicza 21/31;Budowa hali sportowej;1910600
261;mazowieckie;białobrzeski;Gmina;Promna;Przybyszew;Budowa sali gimnastycznej;700000
262;mazowieckie;białobrzeski;Gmina;Stara Błotnica;Stare Siekluki;Budowa sali gimnastycznej;1653000
263;mazowieckie;ciechanowski;Gmina Miejska;Ciechanów;Ciechanów, ul. 17 stycznia 17;Przebudowa, budowa boiska piłkarskiego, 2 boisk wielofunkcyjnych, 4-torowej biezni okrężnej o długści 200 m oraz budowa siłowni zewnętrznej i placu zabaw;323700
264;mazowieckie;ciechanowski;Gmina Miejska;Ciechanów;Ciechanów, ul. 3 maja 7;Przebudowa kompleksu lekkoatletycznego;1500000
265;mazowieckie;ciechanowski;Gmina;Glinojeck;Glinojeck, ul. Parkowa 22;Przebudowa, modernizacja kortu tenisowego oraz modernizacja boiska piłkarskiego;194900
266;mazowieckie;garwoliński;Inny;Centrum Sportu i Kultury w Garwolinie;Garwolin, ul. Sportowa 34;Budowa zaplecza sanitarno-szatniowego;1213600
267;mazowieckie;garwoliński;Powiat;Garwoliński;Garwolin, ul. II Armii Wojska Polskiego;Remont, budowa boiska wielofunkcyjnego i budowa siłowni zewnętrznej;100000
268;mazowieckie;garwoliński;Powiat;Garwoliński;Żelechów, ul. Szkolna 3;Budowa kompleksu lekkoatletycznego;124700
269;mazowieckie;garwoliński;Miasto i Gmina;Pilawa;Pilawa;Budowa, przebudowa skateparku, boiska do siatkówki plażowej, skoczni do skoku w dal i placu zabaw przy PSP i PG w Pilawie oraz przebudowa placu zabaw przy ul. Letniskowej;257000
270;mazowieckie;grodziski;Gmina;Żabia Wola;Ojrzanów, ul. Szkolna 1;Budowa hali sportowej;1940000
271;mazowieckie;grójecki;Gmina;Belsk Duży;Belsk Duży, ul. Szkolna 3;Budowa hali sportowej;2300000
272;mazowieckie;kozienicki;Gmina;Głowaczów;Brzóza, al. Lipowa;Budowa sali gimnastycznej;1100000
273;mazowieckie;kozienicki;Gmina;Kozienice;Wólka Tyrzyńska;Budowa boiska piłkarskiego i wielofunkcyjnego;77300
274;mazowieckie;legionowski;Miasto i Gmina;Serock;Gąsiorowo, ul.Grunwaldzka;Modernizacja  boiska wielofunkcyjnego;274800
275;mazowieckie;lipski;Gmina;Ciepielów;Ciepielów, ul. Lekarska 1;Budowa sali gimnastycznej;1262800
276;mazowieckie;lipski;Miasto i Gmina;Lipsko;Lipsko, ul. Solecka 113;Remont dwóch boisk piłkarskich na stadionie;233900
277;mazowieckie;m. Radom;Inny;Miejski Ośrodek Sportu i Rekreacji w Radomiu Sp. z o.o.;Radom, ul. Narutowicza 9;Termomodernizacja budynku hali sportowej;1146500
278;mazowieckie;m. Radom;Gmina Miasta;Radom;Radom, ul. Wośnicka 125;Budowa boiska wielofunkcyjnego;142000
279;mazowieckie;m. Radom;Gmina Miasta;Radom;Radom, ul. Sienkiewicza 30;Budowa boiska wielofunkcyjnego i skoczni do skoku w dal;115000
280;mazowieckie;m. Radom;Gmina Miasta;Radom;Radom, ul. Batalionów Chłopskich 16;Budowa boiska wielofunkcyjnego i skoczni do skoku w dal;87900
281;mazowieckie;m. Siedlce;Miasto;Siedlce;Siedlce, ul. Graniczna 1;Modernizacja sali gimnastycznej;200000
282;mazowieckie;m. st. Warszawa;Inny;Instytut Sportu;Warszawa, ul. Trylogii 2/16;Zakup układu GC/MS/C/IRMS dla Zakładu Badań Antydopingowych;890000
283;mazowieckie;m. st. Warszawa;Inny;Instytut Sportu;Warszawa, ul. Trylogii 2/16;Przebudowa części noclegowej budynku IS PIB;841500
284;mazowieckie;m. st. Warszawa;Inny;Instytut Sportu;Warszawa, ul. Trylogii 2/16;Utworzenie pracowni dietetyki i zakup densytometru dla Zakładu Fizjologii Żywienia Instytutu Sportu PIB;420750
285;mazowieckie;m. st. Warszawa;Inny;Instytut Sportu;Warszawa, ul. Trylogii 2/16;Zakup układu analitycznego GC-MS/MS - II etap;1250000
286;mazowieckie;m. st. Warszawa;Inny;Instytut Sportu;Warszawa, ul. Trylogii 2/16;Utworzenie Laboratorium nawierzchni sportowych i rekreacyjnych;594000
