Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogó³em z³
116;³ódzkie;piotrkowski;Gmina;Wola Krzysztoporska;Parzniewice Ma³e 31;Budowa sali gimnastycznej;968 600,00 z³
117;³ódzkie;kutnowski;Gmina;Oporów;Oporów 57 A;Budowa sali gimnastycznej z zapleczem ;1 250 000,00 z³
118;³ódzkie;skierniewicki;Gmina;Godzianów;Godzianów, dzia³ki 637/3, 639/4, 636/2, 634/2, 632/2 i 1211;Budowa boiska pi³karskiego;250 000,00 z³
119;³ódzkie;be³chatowski;Gmina;Kluki;Kluki, ul. Szkolna 4;przebudowa i rozbudowa sali gimnastycznej;1 500 000,00 z³
120;³ódzkie;pabianicki;Powiat;Pabianicki;Pabianice, ul. Œw. Jana 27;Przebudowa boiska wielofunkcyjnego;131 900,00 z³
121;³ódzkie;zduñskowolski;Miasto;Zduñska Wola;Zduñska Wola, ul. ¯eromskiego 2/4;Budowa boiska wielofunkcyjnego;130 000,00 z³
122;³ódzkie;brzeziñski;Gmina;Je¿ów;Je¿ów, ul. Wojska Polskiego 2;Budowa pe³nowymiarowej sali gimnastycznej;1 560 000,00 z³
123;³ódzkie;³owicki;Gmina;Zduny;Nowe Zduny;Budowa hali sportowej;1 281 300,00 z³
124;³ódzkie;zgierski;Gmina Miasta;G³owno;G³owno, ul. Kopernika 45;Budowa boisk do tenisa ziemnego;104 000,00 z³
125;³ódzkie;brzeziñski;Gmina;Rogów;Rogów, ul. Szkolna 4;Modernizacja sali gimnastycznej wraz z zapleczem;51 000,00 z³
126;³ódzkie;³ódzki wschodni;Gmina;Koluszki;Koluszki, ul. Ludowa 2;Remont, budowa hali sportowej, si³owni zewnêtrznej;79 600,00 z³
127;³ódzkie;opoczyñski;Gmina;S³awno;Gawrony, Grudzeñ Las, Ostro¿na, S³awno;Budowa kompleksu boisk sportowych;140 000,00 z³
128;³ódzkie;radomszczañski;Gmina Miasto;Radomsko;Radomsko, ul. Koœciuszki 3a;Remont  sal sportowych;96 100,00 z³
129;³ódzkie;m. Skierniewice;Miasto;Skierniewice;Skierniewice, ul. Nowobielañska 102;Budowa budynku zaplecza administracyjo-socjalnego;419 400,00 z³
130;³ódzkie;opoczyñski;Powiat;Opoczyñski;Opoczno, ul. ¯eromskiego 3;Remont kompleksu lekkoatletycznego i boisk wielofunkcyjnych;819 400,00 z³
131;³ódzkie;zgierski;Gmina Miasto;Ozorków;Ozorków, ul. Traugutta 2;Modernizacja hali sportowej;198 900,00 z³
132;³ódzkie;pabianicki;Miasto;Pabianice;Pabianice, ul. Or³a 1;Wymiana parkietu  sali sportowo-widowiskowej;44 200,00 z³
133;³ódzkie;piotrkowski;Gmina;Rozprza;Rozprza, ul. Szkolna 1;Przebudowa kompleksu lekkoatletycznego i boiska wielofunkcyjnego;523 600,00 z³
134;³ódzkie;opoczyñski;Gmina;S³awno;Prymusowa Wola;Modernizacja boiska wielofunkcyjnego;242 000,00 z³
135;³ódzkie;kutnowski;Powiat;Kutnowski;Kutno, ul. Oporowska 7;Przebudowa boiska wielofunkcyjnego i terenowych urz¹dzeñ sportowych;308 500,00 z³
136;³ódzkie;opoczyñski;Klub sportowy;"Uczniowski Miêdzyszkolny Ludowy Klub Sportowy ""PEGAZ""";Opoczno, ul. Partyzantów 1A;Modernizacja bie¿ni lekkoatletycznej;103 600,00 z³
137;ma³opolskie;tarnowski;Gmina;Tarnów;Koszyce Ma³e, ul. Oswiatowa 1;Budowa sali gimnastycznej oraz boiska wielofunkcyjnego;806 600,00 z³
138;ma³opolskie;gorlicki;Miasto;Gorlice;Gorlice, ul. Sportowa;Budowa skateparku;100 000,00 z³
139;ma³opolskie;m. Kraków;Gmina Miejska;Kraków;Kraków, os. Handlowe 4;Budowa Krytej p³ywalni;2 706 300,00 z³
140;ma³opolskie;m. Kraków;Gmina Miejska;Kraków;Kraków, os. Sportowe 28;Modernizacja dwóch boisk wielofunkcyjnych oraz terenowych urz¹dzeñ sportowych;117 200,00 z³
141;ma³opolskie;m. Kraków;Gmina Miejska;Kraków;Kraków, ul. Moszyñskiego 9;Budowa boiska wielofunkcyjnego;143 400,00 z³
142;ma³opolskie;nowos¹decki;Gmina;Stary S¹cz;Stary S¹cz, ul. Daszyñskiego 23;Budowa boiska wielofunkcyjnego;100 000,00 z³
143;ma³opolskie;nowos¹decki;Gmina;Stary S¹cz;Barcice;Budowa boiska wielofunkcyjnego;100 000,00 z³
144;ma³opolskie;nowos¹decki;Gmina;Stary S¹cz;Stary S¹cz, ul. Mickiewicza 59;Budowa boiska wielofunkcyjnego;115 200,00 z³
145;ma³opolskie;myœlenicki;Gmina;Lubieñ;Skomielna Bia³a, Skomielna Bia³a 757;Budowa boiska wielofunkcyjnego;219 400,00 z³
146;ma³opolskie;wielicki;Gmina;Biskupice;£azany;Budowa sali gimnastycznej z zapleczem i przewi¹zk¹;1 500 000,00 z³
