Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogó³em z³
240;opolskie;opolski;Gmina;Tu³owice;Szyd³ów, ul. Sportowa;Budowa boiska wielofunkcyjnego;130 000,00 z³
241;opolskie;strzelecki;Gmina;Kolonowskie;Staniszcze Ma³e, ul. Szkolna 1;Remont boiska wielofunkcyjnego;90 000,00 z³
242;opolskie;namys³owski;Gmina;Wilków;Wilków, ul. D³uga 38;Budowa boisk: wielofunkcyjnego, do pi³ko siatkowej, bie¿ni oraz terenowych urz¹dzeñ sportowych;200 000,00 z³
243;opolskie;prudnicki;Gmina;G³ogówek;G³ogówek, ul. Powstañców;Przebudowa boiska z nawierzchni¹ z trawy naturalnej na boisko pe³nowymiarowe ze sztucznej nawierzchni wraz z oœwietleniem.;497 200,00 z³
244;opolskie;Opole;Miasto;Opole;Opole, ul. Ozimska 48b;Remont i modernizacja krytej p³ywalni;233 700,00 z³
245;opolskie;kêdzierzyñsko-kozielski;Gmina;Kêdzierzyn-KoŸle;Kêdzierzyn-KoŸle, ul. Przodowników Pracy;Budowa boiska pi³karskiego;71 300,00 z³
246;opolskie;kêdzierzyñsko-kozielski;Gmina;Kêdzierzyn-KoŸle;Kêdzierzyn-KoŸle, Al.. Jana Paw³a II 31;Remont i przebudowa krytej p³ywalni;700 000,00 z³
247;opolskie;kêdzierzyñsko-kozielski;Gmina;Reñska Wieœ;Reñska Wieœ, ul. Opolska 7;Budowa bie¿ni okólnej i terenowych urz¹dzeñ sportowych;460 900,00 z³
248;opolskie;kêdzierzyñsko-kozielski;Gmina;Reñska Wieœ;Mechnica, ul. Kwiatowa 4;Modernizacja boiska wielofunkcyjnego;70 000,00 z³
249;opolskie;kluczborski;Gmina;Kluczbork;Kluczbork, ul. Sportowa ;Rozbudowa oœwietlenia boiska treningowego;118 600,00 z³
250;opolskie;brzeski;Gmina;Brzeg;Brzeg, ul. O³awska 2A;Remont nawierzchni w hali sportowej;135 700,00 z³
251;opolskie;brzeski;Inny;Oœrodek Kultury i Rekreacji w Grodkowie;Grodków, ul. Klubowa 9;Remont hali sportowej;333 100,00 z³
252;podkarpackie;le¿ajski;Gmina;Grodzisko Dolne;Grodzisko Nowe;Budowa boisk: pi³karskiego i wielofunkcyjnego;100 000,00 z³
253;podkarpackie;mielecki;Gmina;Mielec;Rzêdzianowice, Trzêœñ, Ksi¹¿nice, Chorzelów;Budowa boisk wielofunkcyjnych;150 000,00 z³
254;podkarpackie;tarnobrzeski;Gmina;Nowa Dêba;Nowa Dêba, ul. Leœna;Budowa sali gimnastycznej;1 200 000,00 z³
255;podkarpackie;kolbuszowski;Gmina;Kolbuszowa;Werynia, Werynia 382;Budowa sali gimnastycznej i boiska wielofunkcyjnego;500 000,00 z³
256;podkarpackie;rzeszowski;Gmina;G³ogów Ma³opolski;G³ogów Ma³opolski;Budowa sali gimnastycznej;550 000,00 z³
257;podkarpackie;jaros³awski;Gmina;RoŸwienica;Wêgierka;Budowa sali gimnastycznej;500 000,00 z³
258;podkarpackie;mielecko;Gmina;Przec³aw;Rzemieñ;Budowa sali gimnastycznej;444 800,00 z³
259;podkarpackie;m. Rzeszów;Gmina Miasto;Rzeszów;Rzeszów, ul. Ofiar Katynia;Modernizacja boisk sportowych;200 000,00 z³
260;podkarpackie;sanocki;Gmina Miasta;Sanok;Sanok, ul. Jana III Sobieskiego 5;Budowa sali gimnastycznej i boiska wielofunkcyjnego;700 000,00 z³
261;podkarpackie;³añcucki;Miasto;£añcut;£añcut, ul. Kochanowskiego ;Budowa hali sportowej;1 700 000,00 z³
262;podkarpackie;ni¿añski;Gmina i Miasto;Nisko;Nisko, ul. D¹browskiego;Przebudowa stadionu sportowego;150 000,00 z³
263;podkarpackie;sanocki;Gmina;Zagórz;Czaszyn, £ukowe, Mokre;Budowa boisk wielofunkcyjnych;220 000,00 z³
264;podkarpackie;jaros³awski;Gmina;Wi¹zownica;Mo³odycz;Budowa sali gimnastycznej;400 000,00 z³
265;podkarpackie;jasielski;Miasto;Jas³o;Jas³o, ul. Wincentego Pola 9;Budowa Sali gimnastycznej;600 000,00 z³
266;podkarpackie;ropczycko-sêdziszowski;Gmina;Sêdziszów Ma³opolski;Bêdziemyœla;Budowa boiska pi³karskiego, boiska do pi³ki siatkowej i budynku zaplecza socjalno-sanitarnego;400 000,00 z³
267;podkarpackie;brzozowski;Gmina;Haczów;Haczów;Rozbudowa i przebudowa budynku szatni sportowej wraz z przebudow¹ miejsc siedz¹cych dla widzów oraz budowa oœwietlenia p³yty boiska;177 100,00 z³
268;podkarpackie;kroœnieñski;Gmina;Wojaszówka;Odrzykoñ, ul. Sportowa 2;Przebudowa i dobudowa boiska pi³karskiego i wielofunkcyjnego wraz z dobudowaniem bie¿ni okólnej;264 000,00 z³
269;podkarpackie;ropczycko-sêdziszowski;Gmina;Ropczyce;Ropczyce ul. Konarskiego 6;Remont krytej p³ywalni ;538 700,00 z³
270;podkarpackie;jasielski;Gmina;Nowy ¯migród;Nowy ¯migród, Nienaszów, £ê¿yny;Przebudowa 3 boisk wielofunkcyjnych;412 200,00 z³
271;podkarpackie;sanocki;Gmina;Bukowsko;Pobiedno;Przebudowa boiska wielofunkcyjnego;245 700,00 z³
272;podkarpackie;lubaczowski;Gmina;Lubaczów;Lisie Jamy, ul. Lwowska;Przebudowa okólnej bie¿ni lekkoatletycznej;100 000,00 z³
273;podkarpackie;lubaczowski;Gmina Miejska;Lubaczów;Lubaczów, ul. S³owackiego 9;Przebudowa kompleksu lekkoatletycznego;200 000,00 z³
274;podkarpackie;dêbicki;Gmina;Dêbica;Pustynia;Przebudowa boiska wielofunkcyjnego, kortu tenisowego;299 700,00 z³
275;podkarpackie;ni¿añski;Gmina i Miasto;Ulanów;Bieliny, ul.Œw. Wojciecha 6;Przebudowa boiska wielofunkcyjnego i budynku zaplecza sanitarno -szatniowego;158 400,00 z³
276;podkarpackie;sanocki;Gmina;Zarszyn;Zarszyn, ul. Szkolna;Przebudowa  i remont boiska wielofunkcyjnego i sali gimnastycznej;200 000,00 z³
277;podkarpackie;kolbuszowski;Powiat;Kolbuszowski;Werynia 502;Przebudowa boiska wielofunkcyjnego;198 300,00 z³
278;podkarpackie;m. Krosno;Gmina;Krosno;Krosno, ul. Decowskiego 9;Przebudowa boisk (wielofunkcyjne i pi³karskie);308 300,00 z³
279;podkarpackie;m. Krosno;Gmina;Krosno;Krosno, ul. Powstañców Œl¹skich 75;Przebudowa boiska wielofunkcyjnego;130 200,00 z³
280;podkarpackie;kroœnieñski;Gmina;Jaœliska;Jaœliska;Przebudowa bie¿ni lekkoatletycznej;273 000,00 z³
281;podkarpackie;jasielski;Miasto;Jas³o;Jas³o, ul. Sikorskiego 15;Termomodernizacja i przebudowa hali sportowej;902 200,00 z³
282;podlaskie;³om¿yñski;Gmina;£om¿a;Konarzyce, ul Szkolna 4;Budowa boiska wielofunkcyjnego;108 400,00 z³
283;podlaskie;³om¿yñski;Gmina;£om¿a;Podgórze, ul. Szkolna;Budowa boiska wielofunkcyjnego;112 000,00 z³
284;podlaskie;³om¿yñski;Gmina;£om¿a;Jarnuty, Jarnuty 1;Budowa boiska wielofunkcyjnego;56 000,00 z³
285;podlaskie;kolneñski;Inny;Kolneñski Oœrodek Kultury i Sportu;Kolno, ul. Marii D¹browskiej 4;Budowa i remont boiska do pi³ki pla¿owej, remont elementów kompleksu sportowego;105 400,00 z³
286;podlaskie;grajewski;Gmina;Radzi³ów;Radzi³ów, ul. Sportowa;Budowa boiska wielofunkcyjnego;320 000,00 z³
287;podlaskie;augustowski;Powiat;Augustowski;Augustów, al. Kardyna³a Wyszyñskiego 1;Budowa boiska wielofunkcyjnego;182 000,00 z³
288;podlaskie;siemiatycki;Miasto;Siemiatycze;Siemiatycze, ul. Andersa 4;Przebudowa boiska wielofunkcyjnego;99 000,00 z³
289;podlaskie;m. Suwa³ki;Miasto;Suwa³ki;Suwa³ki, ul. T. Koœciuszki 36, 38, 38A oraz ul. Weso³a;Budowa boiska wielofunkcyjnego;164 000,00 z³
290;podlaskie;m. Suwa³ki;Miasto;Suwa³ki;Suwa³ki, ul. Sejneñska 12;Budowa boiska pi³karskiego, boiska wielofunkcyjnego, bie¿ni i zaplecza socjalno-sanitarnego;512 000,00 z³
291;podlaskie;bia³ostocki;Gmina;£apy;Uhowo, ul. Szkolna 19;Budowa sali gimnastycznej;864 000,00 z³
292;podlaskie;bia³ostocki;Gmina;£apy;£apy, ul. Letnia 1;Budowa sali gimnastycznej;736 000,00 z³
293;podlaskie;moniecki;Gmina;Moñki;Moñki, ul. Tysi¹clecia 17;Budowa bie¿ni;156 000,00 z³
294;podlaskie;augustowski;Gmina Miasto;Augustów;Augustów, ul. Nowomiejska 41;Budowa boiska wielofunkcyjnego;205 000,00 z³
295;podlaskie;augustowski;Gmina Miasto;Augustów;Augustów, ul. Mjr. H. Sucharskiego 15;Remont krytej p³ywalni;148 600,00 z³
296;podlaskie;M. £om¿a;Miasto;£om¿a;£om¿a, ul. Stacha Konwy 11;Budowa boiska pi³karskiego, biezni i terenowych urz¹dzeñ sportowych;474 000,00 z³
297;podlaskie;M. £om¿a;Miasto;£om¿a;£om¿a, ul. Niemcewicza 17;Budowa boiska pi³karskiego, bie¿ni i skoczni;435 000,00 z³
298;podlaskie;bia³ostocki;Gmina;Micha³owo;Micha³owo, ul. Leœna;Budowa boiska pi³karskiego;195 000,00 z³
299;podlaskie;M. Bia³ystok;Klub sportowy;"Bia³ostocki Klub Sportowy ""Hetman""";Bia³ystok, ul. Kawaleryjna 17A;Budowa sali gimnastycznej;750 000,00 z³
300;podlaskie;m. Bia³ystok;Miasto;Bia³ystok;Bia³ystok, ul. Marii Konopnickiej 3;Budowa boiska pi³karskiego i boiska wielofunkcyjnego;288 000,00 z³
301;podlaskie;m. Bia³ystok;Miasto;Bia³ystok;Bia³ystok, ul. Palmowa 28;Budowa boiska pi³karskiego;224 000,00 z³
302;podlaskie;bia³ostocki;Gmina;Juchnowiec Koœcielny;Juchnowiec Górny, ul. Szkolna 5;Budowa boiska do pi³ki no¿nej, boiska wielofunkcyjnego i terenowych urz¹dzeñ sportowych;398 800,00 z³
303;podlaskie;zambrowski;Gmina;Szumowo;Srebrna, Srebrna 81;Budowa sali gimnastycznej;550 000,00 z³
304;podlaskie;sokólski;Gmina;Sokó³ka;Sokó³ka, os. Zielone 2;Remont sali gimnastycznej;135 000,00 z³
305;podlaskie;zambrowski;Gmina;Rutki;Rutki-Kossaki;Budowa boiska pi³karskiego, bie¿ni okólnej i terenowych urz¹dzeñ sportowych;187 000,00 z³
306;podlaskie;grajewski;Gmina;Radzi³ów;Radzi³ów, ul. Sportowa;Przebudowa kortu tenisowego i terenowych urz¹dzeñ lekkoatletycznych;195 900,00 z³
307;podlaskie;grajewski;Powiat;Grajewski;Wojewodzin;Przebudowa boiska sportowego i terenowych urz¹dzeñ sportowych;196 000,00 z³
308;podlaskie;grajewski;Powiat;Grajewski;Nieækowo;Remont sali gimnastycznej ;57 700,00 z³
309;podlaskie;³om¿yñski;Gmina;Nowogród;Nowogród, ul. 11Listopada;Przebudowa  2 boisk w tym boisko do koszykówki i wielofunkcyjne;292 700,00 z³
310;pomorskie;tczewski;Gmina;Tczew;Mi³ob¹dz;Budowa sali gimnastycznej;450 000,00 z³
311;pomorskie;s³upski;Gmina;Damnica;Damnica, ul. Konopnickiej;Budowa boiska pi³karskiego;130 000,00 z³
312;pomorskie;s³upski;Gmina;G³ówczyce;Stowiêcino;Budowa sali gimnastycznej wraz z ³¹cznikiem;500 000,00 z³
313;pomorskie;koœcierski;Gmina;Karsin;Osowo, ul. Wielewska;Budowa boiska wielofunkcyjnego;80 000,00 z³
314;pomorskie;m. Gdañsk;Miasto;Gdañsk;Gdañsk, ul. Meissnera;Budowa boiska pi³karskiego;1 000 000,00 z³
315;pomorskie;lêborski;Gmina Miasto;Lêbork;Lêbork, ul. Kossaka 103;Budowa boiska pi³karskiego, boiska wielofunkcyjnego i bie¿ni lekkoatletycznej;150 000,00 z³
316;pomorskie;kartuski;Gmina;Somonino;Egiertowo 1;Budowa hali sportowej;400 000,00 z³
317;pomorskie;kwidzyñski;Miasto;Kwidzyn;Kwidzyn, ul. Warszawska 13;Budowa boiska pi³karskiego i boiska wielofunkcyjnego;176 340,00 z³
318;pomorskie;tczewski;Gmina Miejska;Tczew;Tczew, osiedle Bajkowe, Aleja Kociewska;Budowa boiska wielofunkcyjnego;100 000,00 z³
319;pomorskie;m. S³upsk;Klub sportowy;"Klub Strzelecki ""Gryf S³upsk""";S³upsk, ul. Zamiejska 30;Przebudowa czêœci klubu na zamkniêt¹ strzelnicê pneumatyczn¹;100 000,00 z³
320;pomorskie;koœcierski;Gmina;Stara Kiszewa;Stara Kiszewsa, ul. Tysi¹clecia 25;Budowa hali sportowej;2 000 000,00 z³
321;pomorskie;bytowski;Gmina;Czarna D¹brówka;Kozy;Budowa boiska wielofunkcyjnego;105 500,00 z³
322;pomorskie;gdañski;Gmina;Przywidz;Przywidz, ul. Gdañska 11;Budowa hali sportowej;2 000 000,00 z³
323;pomorskie;M. Gdañsk;Klub sportowy;SKS Polonia Gdañsk;SKS Polonia Gdañsk;Remont zaplecza szatniowo-sanitarnego;40 300,00 z³
324;pomorskie;wejherowski;Województwo;Pomorskie;Wejherowo, ul. Sobieskiego 279;Modernizacja boiska wielofunkcyjnego;150 000,00 z³
325;pomorskie;pucki;Gmina;Kosakowo;Kosakowo, ul. ¯eromskiego;Budowa centrum sportowego;2 000 000,00 z³
326;pomorskie;kartuski;Gmina;Sierakowice;Lisie Jamy, Lisie Jamy 60A;Budowa Sali sportowej;500 000,00 z³
327;pomorskie;kartuski;Gmina;¯ukowo;Banino, ul. Tuchomska;budowa Sali sportowej;2 000 000,00 z³
328;pomorskie;cz³uchowski;Powiat;Cz³uchowski;Cz³uchów, ul. Koszaliñska 2B;budowa hali sportowej;2 000 000,00 z³
329;pomorskie;cz³uchowski;Gmina Miejska;Cz³uchów;Cz³uchów, ul. Œrednia 4;Remont sali gimnastycznej;221 600,00 z³
330;pomorskie;m. Gdynia;Gmina Miasta;Gdyni;Gdynia, ul. Olimpijska;Remont  hali lekkoatletycznej wraz z budynkiem zaplecza;198 800,00 z³
331;pomorskie;sztumski;Miasto i Gmina;Sztum;Sztum, ul. Reja;Budowa budynku zaplecza sanitarno-szatniowego;1 000 000,00 z³
332;pomorskie;m. Gdynia;Gmina Miasta;Gdynia;Gdynia, ul. Olimpijska;Remont Hali Sportowej - Gdyñski Oœrodek Sportu i Rekreacji;115 200,00 z³
333;pomorskie;koœcierski;Gmina Miejska;Koœcierzyna;Koœcierzyna, ul. Marii Sk³odowskiej Curie 6;Modernizacja kompleksu lekkoatletycznego;170 800,00 z³
334;pomorskie;starogardzki;Gmina Miejska;Starogard Gdañski;Starogard Gdañski, ul Hallera 19a;Remont hali sportowej;377 400,00 z³
335;œl¹skie;wodzis³awski;Miasto;Rydu³towy;Rydu³towy, ul. Strzelców Bytomskich;Modernizacja boiska wielofunkcyjnego;62 700,00 z³
336;œl¹skie;gliwicki;Miasto;Gliwice;Gliwice, ul. Kujawska;Modernizacja boiska pi³karskiego;165 700,00 z³
337;œl¹skie;m. ¯ory;Gmina Miejska;¯ory;¯ory, ul. Powstañców 6;Budowa boiska wielofunkcyjnego;103 600,00 z³
338;œl¹skie;bêdziñski;Miasto;Bêdzin;Bêdzin, ul. Stalickiego 1;Budowa boiska wielofunkcyjnego, bie¿ni sprinterskiej;326 400,00 z³
339;œl¹skie;m. Rybnik;Miasto;Rybnik;Rybnik, ul. Grunwaldzka 18;Budowa hali sportowej z ³¹cznikiem;1 432 800,00 z³
340;œl¹skie;wodzis³awski;Gmina;Godów;Godów, ul. Szkolna 11;Budowa Sali gimnastycznej;600 000,00 z³
341;œl¹skie;czêstochowski;Gmina;Olsztyn;Olsztyn, ul. Zielona 70;Modernizacja boiska pi³karskiego;174 000,00 z³
342;œl¹skie;tarnogórski;Inny;Biblioteka i Oœrodek Kultury Gmiy O¿arowice w T¹pkowicach;O¿arowice, ul. Sportowa 1;Budowa boiska wielofunkcyjnego z budynkiem zaplecza, skateparku oraz si³owni plenerowej;695 000,00 z³
343;œl¹skie;m. Sosnowiec;Gmina;Sosnowiec;Sosnowiec, ul. Jagielloñska;Budowa boiska wielofunkcyjnego;337 100,00 z³
344;œl¹skie;bielski;Gmina;Jasienica;Œwiêtoszówka, Œwiêtoszówka 40;Budowa boiska wielofunkcyjnego i bie¿ni prostej z zeskokiem do skoku w dal;100 000,00 z³
345;œl¹skie;m. Œwiêtoch³owice;Gmina;Œwiêtoch³owice;Œwiêtoch³owice, ul. Zubrzyckiego 38;Modernizacja boiska wielofunkcyjnego, terrenowych urz¹dzeñ sportowych i oœwietlenia;156 100,00 z³
346;œl¹skie;wodzis³awski;Gmina Miasto;Wodzis³aw Œl¹ski;Wodzis³aw Œl¹ski;Budowa boisk wielofunkcyjnych;120 000,00 z³
347;œl¹skie;bêdziñski;Gmina;Siewierz;Dziewki;Budowa boiska wielofunkcyjnego;75 000,00 z³
348;œl¹skie;M. Mys³owice;Gmina;Mys³owice;Mys³owice, ul. Reja 28;Budowa boiska wielofunkcyjnego;69 600,00 z³
349;œl¹skie;miko³owski;Gmina Miejska;£aziska Górne;£aziska Górne, ul. Sportowa;Budowa skateparku;172 000,00 z³
350;œl¹skie;myszkowski;Gmina;Myszków;Myszków, ul. 3 Maja;Budowa skateparku;99 000,00 z³
351;œl¹skie;bielski;Gmina;Wilamowice;Zasole Bielañskie, ul. Nowy Œwiat, ul. Piêkna;Budowa boiska wielofuncyjnego i placu zabaw;155 700,00 z³
352;œl¹skie;wodzis³awski;Miasto;Radlin;Radlin, Rymera 170;Budowa sali gimnastycznej;928 000,00 z³
353;œl¹skie;zawierciañski;Gmina;Zawiercie;Zawiercie, ul. Zarzecze 2;Budowa boisk: wielofunkcyjnego, do pi³ko siatkowej i bie¿ni prostej;215 100,00 z³
354;œl¹skie;¿ywiecki;Gmina;Wêgierska Górka;Wêgierska Górka, ul. 3 Maja;Modernizacja stadionu lekkoatletycznego;385 000,00 z³
355;œl¹skie;tarnogórski;Gmina;Miasteczko Œl¹skie;Miasteczko Œl¹skie, ul. Dworcowa 5;Budowa Sali gimnastycznej z zapleczem socjalnym;1 065 200,00 z³
356;œl¹skie;bielski;Gmina;Czechowice-Dziedzice;Czechowice-Dziedzice, ul. Legionów;Budowa boiska pi³karskiego;500 000,00 z³
357;œl¹skie;myszkowski;Gmina i Miasto;Kozieg³owy;Gniazdów;Budowa kompleksu rekreacyjno-sportowego;2 042 400,00 z³
358;œl¹skie;bêdziñski;Miasto;Bêdzin;Bêdzin, ul. Rewolucjonistów 18;Remont sali gimnastycznej;226 400,00 z³
359;œl¹skie;czêstochowski;Gmina;K³omnice;K³omnice, ul Czêstochowska 3;Renowacja i modernizacja boiska pi³karskiego;437 057,00 z³
360;œl¹skie;myszkowski;Gmina;¯arki;¯arki, ul. Steinkellera;Przebudowa boiska pi³karskiego;809 000,00 z³
361;œl¹skie;lubliniecki;Gmina;Lubliniec;Lubliniec, ul. S¹dowa;Remont i rozbudowa stadionu szkolnego;796 400,00 z³
362;œl¹skie;czêstochowski;Gmina;Lelów ;Lelów, ul. Szczekocinska 41;Przebudowa  stadionu sportowego;593 600,00 z³
363;œl¹skie;myszkowski;Gmina;Poraj;Poraj, ul. Górnicza;Przebudowa boiska pi³karskiego na kort do tenisa ziemnego;97 500,00 z³
364;œl¹skie;m. Chorzów;Miasto;Chorzów;Chorzów, ul. Lompy 10a;Modernizacja           stadionu sportowego;568 800,00 z³
365;œl¹skie;wodzis³awski;Miasto;Radlin;Radlin, ul. Mariacka;Modernizacja boiska pi³karskiego;719 200,00 z³
366;œl¹skie;tarnogórski;Miasto;Kalety;Kalety, ul. Fabryczna;Remont bie¿ni wokó³ boiska pi³karskiego;217 000,00 z³
367;œl¹skie;m. Katowice;Szko³a/Uczelnia;Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach;Katowice, ul. Miko³owska 72;Termomodernizacja sali sportowej;848 000,00 z³
368;œwiêtokrzyskie;buski;Gmina;Busko-Zdrój;Busko-Zdrój, ul. Kusociñskiego;Remont bie¿ni i urz¹dzeñ lekkoatletycznych;266 900,00 z³
369;œwiêtokrzyskie;kielecki;Gmina;Daleszyce;Mójcza;Budowa sali gimnastycznej ;540 000,00 z³
370;œwiêtokrzyskie;ostrowiecki;Gmina;Æmielów;Brzóstowa;Budowa boiska wielofunkcyjnego;178 800,00 z³
371;œwiêtokrzyskie;kielecki;Gmina;Nowa S³upia;Rudki;Przebudowa, budowa, remont boiska pi³karskiego, budowa boiska i remont sali treningowej;100 000,00 z³
372;œwiêtokrzyskie;starachowicki;Gmina;Starachowice;Starachowice, ul. Szkolna;Budowa boiska pi³karskiego;60 700,00 z³
373;œwiêtokrzyskie;sandomierski;Gmina;Obrazów;G³azów, G³azów 80;Budowa boiska pi³karskiego i bie¿ni prostej;54 000,00 z³
374;œwiêtokrzyskie;kielecki;Gmina;Bodzentyn;Bodzentyn, ul. Wolnoœci;Budowa skateparku;81 400,00 z³
375;œwiêtokrzyskie;konecki;Gmina;Smyków;Przy³ogi;Budowa boiska wielofunkcyjnego;151 000,00 z³
376;œwiêtokrzyskie;konecki;Gmina;St¹porków;Krasna;Budowa boiska wielofunkcyjnego;90 000,00 z³
377;œwiêtokrzyskie;opatowski;Gmina;Sadowie;Sadowie, dzia³ka nr 164/2;Budowa boiska wielofunkcyjnego;100 000,00 z³
378;œwiêtokrzyskie;buski;Powiat;Buski;Busko-Zdrój, ul. Rehabilitacyjna 1;Budowa boiska pi³karskiego, wielofunkcyjnego i terenowych urz¹dzeñ sportowych;260 000,00 z³
379;œwiêtokrzyskie;buski;Gmina;Wiœlica;Wiœlica, ul. Podwale 1;Budowa hali sportowej;3 150 000,00 z³
380;œwiêtokrzyskie;piñczowski;Gmina;Piñczów;Piñczów, ul. Pa³êki 26;Budowa i remont 2 boisk wielofunkcyjnych, 2 boisk do pi³ki pla¿owej, bie¿ni, toru crossowo-rowerowego i remont 2 budynków zaplecza;484 000,00 z³
381;œwiêtokrzyskie;piñczowski;Gmina;Piñczów;Piñczów, ul. 1 Maja 5;Budowa 2 boisk wielofunkcyjnych, bie¿ni i skoczni;200 400,00 z³
382;œwiêtokrzyskie;M. Kielce;Inny;Diecezja Kielecka;Kielce, ul. œw. Stanis³awa Kostki 17;Budowa hali sportowej;1 600 000,00 z³
383;œwiêtokrzyskie;m. Kielce;Szko³a/Uczelnia;Uniwersytet Jana Kochanowskiego w Kielcach;Kielce, ul. Œwiêtokrzyska 21;Budowa hali sportowej;1 904 000,00 z³
384;œwiêtokrzyskie;ostrowiecki;Gmina;Ostrowiec Œwiêtokrzyski;Ostrowiec Œwiêtokrzyski, ul. Mickiewicza 32;Remont krytej p³ywalni olimpijskiej;277 570,00 z³
385;warmiñsko-mazurskie;i³awski;Gmina;I³awa;Franciszkowo;Budowa boiska wielofunkcyjnego;160 000,00 z³
386;warmiñsko-mazurskie;szczycieñski;Gmina;Wielbark;£atana Wielka 14;Budowa sali gimnastycznej z zapleczem sanitarno-szatniowym ;600 000,00 z³
387;warmiñsko-mazurskie;kêtrzyñski;Gmina;Korsze;Korsze, ul. Koœciuszki 12;Budowa hali widowiskowo-sportowej;1 443 600,00 z³
388;warmiñsko-mazurskie;olsztyñski;Gmina;Kolno;Kolno, Kolno 29A;Budowa Sali gimnastycznej;2 000 000,00 z³
389;warmiñsko-mazurskie;i³awski;Gmina Miejska;I³awa;I³awa, ul. Koœciuszki 2;Budowa sali gimnastycznej;1 580 300,00 z³
390;warmiñsko-mazurskie;braniewski;Gmina;Pieniê¿no;Pieniê¿no, ul. Parkowa;Budowa Sali gimnastycznej z zapleczem dydaktycznym;2 110 000,00 z³
391;warmiñsko-mazurskie;szczycieñski;Gmina;Œwiêtajno;Spychowo, Mazurska 5;Budowa Sali gimnastycznej;1 142 900,00 z³
392;warmiñsko-mazurskie;gi¿ycki;Gmina;Kruklanki;Boæwinka, Boæwinka 12;Budowa boiska wielofunkcyjnego;100 000,00 z³
393;warmiñsko-mazurskie;nowomiejski;Gmina;Kurzêtnik;Tereszewo;Budowa boiska wielofunkcyjnego;160 000,00 z³
394;warmiñsko-mazurskie;i³awski;Gmina;Susz;Susz, ul. Wybickiego (obrêb 5 dzia³ka nr 176/1);Budowa skateparku;150 000,00 z³
395;warmiñsko-mazurskie;elbl¹ski;Gmina;Pas³êk;Pas³êk, pl. 1000-lecia;Budowa si³owni zewnêtrznej i terenowych urz¹dzeñ sportowych;110 000,00 z³
396;warmiñsko-mazurskie;e³cki;Gmina;Stare Juchy;Stare Juchy, ul. Mazurska 11;Budowa boiska wielofunkcyjnego;140 000,00 z³
397;warmiñsko-mazurskie;nidzicki;Powiat;Nidzicki;Nidzica, ul. Jagie³³y 3;Budowa boiska wielofunkcyjnego;150 000,00 z³
398;warmiñsko-mazurskie;mr¹gowski;Gmina;Piecki;Piecki, ul. Zwyciêstwa;Remont boiska pi³karskiego;98 200,00 z³
399;warmiñsko-mazurskie;gi¿ycki;Gmina Miejska;Gi¿ycko;Gi¿ycko, ul. Moniuszki 5;Renowacja p³yty g³ównej oraz nawierzchni bocznej boisk stadionu;100 000,00 z³
400;warmiñsko-mazurskie;olsztyñski;Gmina;Dywity;Dywity;Przebudowa kompleksu lekkoatletycznego i boiska do pi³ki no¿nej;857 500,00 z³
401;warmiñsko-mazurskie;gi¿ycki;Powiat;Gi¿ycki;Gi¿ycko, ul. Nadbrze¿na 15;Remont budynku zaplecza ¿eglarskiego;36 900,00 z³
402;warmiñsko-mazurskie;i³awski;Powiat;I³awski;I³awa, ul. Kopernika 8;Przebudowa kompleksu lekkoatletycznego i boiska wielofunkcyjnego;705 200,00 z³
403;warmiñsko-mazurskie;ostródzki;Powiat;Ostródzki;Ostróda, Ul. Kardyna³a Stefana Wyszyñskiego 2;Przebudowa  dachu na budynku sali gimnastycznej ;109 800,00 z³
404;warmiñsko-mazurskie;M. Elbl¹g;Gmina Miasto;Elbl¹g;Elbl¹g, ul. Królewska 42;Przebudowa boiska wielofunkcyjnego z lekkim przekryciem namiotowym;544 700,00 z³
405;warmiñsko-mazurskie;m. Elbl¹g;Gmina Miasto;Elbl¹g;Elbl¹g, ul. Koœciuszki 77a;Remont hali sportowej - wymiana nawierzchni i wykonanie wentylacji pog³ogowej;252 700,00 z³
406;warmiñsko-mazurskie;olecki;Powiat;Olecki;Olecko, ul. Go³dapska 29;Remont i modernizacja  boiska wielofunkcyjnego;176 300,00 z³
407;wielkopolskie;z³otowski;Gmina i Miasto;Krajenka;Skórka, ul. Z³otowska;Budowa boiska wielofunkcyjnego;130 600,00 z³
408;wielkopolskie;turecki;Gmina Miejska;Turek;Turek, ul. 3 Maja 29;Budowa hali sportowej;952 200,00 z³
409;wielkopolskie;pleszewski;Inny;Sport Pleszew sp. z o.o.;Pleszew, ul. Krzywoustego 4;Budowa hali sportowej;1 998 200,00 z³
410;wielkopolskie;turecki;Powiat;Turecki;Turek, ul. Milewskiego 3b;Budowa hali sportowej;1 212 800,00 z³
411;wielkopolskie;poznañski;Gmina;Suchy Las;Suchy Las, ul. Forteczna;Budowa boiska pi³karskiego;650 000,00 z³
412;wielkopolskie;gostyñski;Gmina;Poniec;Poniec, ul. Szkolna;Budowa hali widowiskowo-sportowej;1 292 800,00 z³
413;wielkopolskie;kaliski;Gmina;Szczytniki;Popów, Popów 54;Budowa sali gimnastycznej ;365 000,00 z³
