Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogółem zł
282;opolskie;kluczborski;Gmina;Byczyna;Byczyna, ul. Poznańska 6;Budowa kompleksu lekkoatletycznego;349 900,00
283;opolskie;krapkowicki;Gmina;Krapkowice;Krapkowice, ul. Wrzosów;Budowa boiska piłkarskiego i kortów tenisowych;100 000,00
284;opolskie;m. Opole;Miasto;Opole;Opole, ul. Barlickiego 13;Modernizacja hali i zaplecza sztucznego lodowiska TOROPOL;1 234 200,00
285;opolskie;m. Opole;Miasto;Opole;Opole, ul. Barlickiego 13;Modernizacja hali sztucznego lodowiska TOROPOL - etap II;420 700,00
286;opolskie;m. Opole;Miasto;Opole;Opole, ul. Barlickiego 13;Modernizacja maszynowni chłodniczej Sztucznego Lodowiska TOROPOL;528 400,00
287;opolskie;m. Opole;Miasto;Opole;Opole, ul. Oleska 70;"Przebudowa Hali Sportowej ""Okrąglak""";7 000 000,00
288;opolskie;nyski;Powiat;Nyski;Nysa, pl. Sikorskiego 1;Budowa boiska wielofunkcyjnego;149 200,00
289;opolskie;nyski;Gmina;Nysa;Nysa, ul. Chodowieckiego 7;Budowa wielofunkcyjnego boiska sportowego;180 000,00
290;opolskie;nyski;Gmina;Nysa;Nysa, Sudecka 28;Budowa hali sportowo-widowiskowej;7 000 000,00
291;opolskie;opolski;Gmina;Łubniany;Jełowa, ul. Wolności 15;Budowa boiska wielofunkcyjnego i siłowni plenerowej;254 900,00
292;opolskie;prudnicki;Gmina;Głogówek;Twardawa, ul. Kozielska;Przebudowa boiska piłkarskiego;80 000,00
293;opolskie;prudnicki;Gmina;Głogówek;Mochów, działka nr 421;Przebudowa boiska piłkarskiego;90 000,00
294;opolskie;prudnicki;Gmina;Głogówek;Glogówek, ul. Jana Pawła II;Budowa skateparku;120 000,00
295;opolskie;prudnicki;Gmina;Prudnik;Prudnik, ul. Łucznicza 1;Modernizacja hali sportowej;245 000,00
296;opolskie;strzelecki;Gmina;Leśnica;Leśnica, ul. Zdzieszowicka;Budowa boisk: wielofunkcyjnego i piłkarskiego, bieżni okrężnej 200 m z bieżnia prostą oraz skoczni do skoku w dal;628 500,00
297;podkarpackie;bieszczadzki;Gmina;Ustrzyki Dolne;Ustrzyki Dolne, ul. Kopernika 1;Przebudowa zaplecza socjalno-sanitarnego dla stadionu sportowego;338 100,00
298;podkarpackie;brzozowski;Gmina;Haczów;Jasionów;Budowa boiska wielofunkcyjnego;137 800,00
299;podkarpackie;dębicki;Gmina;Dębica;Głobikowa;Budowa sali gimnastycznej oraz boiska wielofunkcyjnego;870 000,00
300;podkarpackie;dębicki;Gmina Miasta;Dębica;Dębica, ul. Szkotnia 14;Budowa boiska wielofunkcyjnego;120 000,00
301;podkarpackie;dębicki;Gmina Miasta;Dębica;Dębica, ul. Huberta Wagnera 4;Budowa boiska wielofunkcyjnego i kortu tenisowego;173 900,00
302;podkarpackie;dębicki;Gmina Miasta;Dębica;Dębica, ul. Łysogórska 25;Budowa hali sportowej;1 200 000,00
303;podkarpackie;dębicki;Powiat;Dębicki;Dębica, ul. Lisa 4;Remont hali sportowej;231 400,00
304;podkarpackie;jarosławski;Gmina;Jarosław;Makowisko;Budowa boiska wielofukcyjnego;118 500,00
305;podkarpackie;jarosławski;Gmina Miejska;Jarosław;Jarosław, os. Kombatantów;Modernizacja boisk: piłkarskiego i wielofunkcyjnego;68 800,00
306;podkarpackie;jarosławski;Gmina;Pruchnik;Pruchnik, Rynek;Rozbudowa sali gimnastycznej o łącznik pomiędzy salą gimnastyczną a budynkiem gimnazjum;156 800,00
307;podkarpackie;jarosławski;Gmina;Jarosław;Wólka Pełkińska, działka nr 984;Modernizacja budynku zaplecza socjalno-sanitarnego;275 400,00
308;podkarpackie;jarosławski;Gmina;Radymno;Skołoszów, działka nr ew. 701/3;Budowa zaplecza socjalno-saniarnego;459 100,00
309;podkarpackie;jarosławski;Gmina;Pruchnik;Pruchnik, ul. Sportowa 1;Przebudowa bieżni okrężnej 400 m;557 000,00
310;podkarpackie;jasielski;Miasto;Jasło;Jasło, ul. Sikorskiego 15;Budowa hali sportowej przeznaczonej do sportów walki;1 650 000,00
