Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogółem zł
418;pomorskie;wejherowski;Gmina;Łęczyce;Rozłazino, ul. Długa 21;Budowa sali gimnastycznej z zapleczem;600 000,00
419;pomorskie;wejherowski;Gmina Miasta;Wejherowo;Wejherowo, ul. Nanicka 22;Przebudowa lodowiska stałego poprzez budowę zadaszenia lodowiska;500 000,00
420;pomorskie;wejherowski;Gmina Miejska;Rumia;Rumia, ul. Bukowa;Przebudowa boiska piłkarskiego oraz do gry w rugby;1 000 000,00
421;pomorskie;wejherowski;Inny;Stowarzyszenie Mieszkańcy Dzieciom;Karczemki, ul. Gdańska;Przebudowa boiska wielofunkcyjnego wraz z urządzeniami lekkoatletycznymi;420 800,00
422;pomorskie;wejherowski;Gmina Miasto;Wejherowo;Wejherowo, os. 1000 lecia P.P nr 15;Budowa budynku zaplecza sanitarno-szatniowego z salą treningową dla istniejącego zespołu boisk sportowych;949 900,00
423;śląskie;będziński;Powiat;Będziński;Będzin, ul. Kopernika 2;Budowa boisk: piłkarskiego i wielofunkcyjnego;160 700,00
424;śląskie;będziński;Gmina;Siewierz;Siewierz, ul. Długa 2;Budowa sali gimnastycznej z łącznikiem, bieżni prostej i modernizacja boiska wielofunkcyjnego;986 600,00
425;śląskie;będziński;Gmina;Bobrowniki;Dobieszowice, ul. Kościuszki 32;Budowa boisk: piłkarskiego i wielofunkcyjnego;166 000,00
426;śląskie;będziński;Gmina;Psary;"Sarnów, ul. Szkolna 5; Psary ul. Szkolna 32";Modernizacja sal gimnastycznych;119 300,00
427;śląskie;będziński;Gmina;Psary;Dąbie, ul. Pocztowa 39;Budowa boiska wielofunkcyjnego i skoczni w dal;139 800,00
428;śląskie;bielski;Gmina;Buczkowice;Buczkowice, ul. Szkolna 815;Modernizacja krytej pływalni;539 000,00
429;śląskie;bielski;Gmina;Wilamowice;Pisarzowice, ul. św. Floriana 28;Budowa boiska wielofunkcyjnego, bieżni prostej, skoczni do skoku w dal i wzwyż;295 000,00
430;śląskie;bielski;Gmina;Czechowice-Dziedzice;Ligota, ul. Wapiennicka;Budowa boiska piłkarskiego;335 800,00
431;śląskie;bielski;Gmina;Czechowice-Dziedzice;Czechowice-Dziedzice, ul. Chłopska 70;Budowa boiska wielofunkcyjnego, bieżni okrężnej 200-metrowej i prostej;249 400,00
432;śląskie;bielski;Inny;REKORD Sportowa Spółka Akcyjna;Bielsko-Biała, ul. Startowa 13;Modernizacja 2 boisk piłkarskich z trawy syntetycznej;465 000,00
433;śląskie;bielski;Powiat;Bielski;Czechowice-Dziedzice, ul. Konopnickiej 9;Budowa kompleksu lekkoatletycznego;88 000,00
434;śląskie;bielski;COS;COS OPO w Szczyrku;Szczyrk;Przebudowa wyciągu orczykowego DOLINY II;1 200 000,00
435;śląskie;bieruńsko-lędziński;Gmina;Chełm Śląski;Chełm Śląski, ul. Techników 4b;Budowa skateparku;123 000,00
436;śląskie;cieszyński;Gmina;Wisła;Wisła, ul. Malinka 53;Budowa boisk wielofunkcyjnych;178 400,00
437;śląskie;cieszyński;Miasto;Ustroń;Ustroń, ul. Wczasowa działki nr 4086/63, 4086/87;Modernizacja kortu tenisowego;100 700,00
438;śląskie;cieszyński;Miasto;Ustroń;Ustroń, ul. Sportowa;Budowa boiska wielofunkcyjnego;798 600,00
439;śląskie;cieszyński;Gmina;Zebrzydowice;Kaczyce, ul. Harcerska;Budowa budynku zaplecza sportowego;293 000,00
440;śląskie;cieszyński;Gmina;Hażlach;Pogwizdów, ul. Szkolna;Budowa boisk wielofunkcyjnych, bieżni okrężnej 200-metrowej i skoczni do skoku w dal;289 600,00
441;śląskie;cieszyński;Gmina;Skoczów;Skoczów, ul. Gustawa Morcinka;Modernizacja boiska piłkarskiego wraz z urządzeniami;456 400,00
442;śląskie;częstochowski;Gmina;Mykanów;Mykanów, ul. Słoneczna działki 562/2, 562/4;Budowa hali sportowej;953 500,00
443;śląskie;kłobucki;Powiat;Kłobucki;Kłobuck, ul. Ks. Skorupki 46;Modernizacja boiska wielofunkcyjnego;114 600,00
444;śląskie;lubliniecki;Gmina;Koszęcin;Rusinowice, ul. Lompy;Budowa sali gimnastycznej;923 000,00
445;śląskie;lubliniecki;Gmina;Lubliniec;Lubliniec, ul. 74 G.P.P;Budowa kompleksu lekkoatletycznego;942 500,00
446;śląskie;m. Bielsko-Biała;Inny;"Prowincja Polska Zgromadzenia Córek Bożej Miłości ""Instytut Marii""";Bielsko-Biała, ul. Broniewskiego 13;Budowa boiska wielofunkcyjnego;126 000,00
447;śląskie;m. Bielsko-Biała;Miasto;Bielsko-Biała;Bielsko-Biała, ul. Akademii Umiejętności 1;Budowa kompleksu lekkoatletycznego i boiska wielofunkcyjnego;350 000,00
448;śląskie;m. Bielsko-Biała;Miasto;Bielsko-Biała;Bielsko-Biała, ul. Słowackiego 27b;Budowa kompleksu lekkoatletycznego;900 000,00
449;śląskie;m. Bytom;Miasto;Bytom;Bytom, ul. Suchogórska 98;Budowa sali gimnastycznej;716 000,00
450;śląskie;m. Chorzów;Miasto;Chorzów;Chorzów, ul. Piotra Skargi;Budowa skateparku i siłowni plenerowej;240 000,00
451;śląskie;m. Chorzów;Miasto;Chorzów;Chorzów, ul. 3 Maja 16;Modernizacja boiska wielofunkcyjnego;141 000,00
452;śląskie;m. Częstochowa;Gmina Miasto;Częstochowa;Częstochowa, ul. Dąbrowskiego 75;Budowa sali gimnastycznej;1 205 000,00
453;śląskie;m. Częstochowa;Gmina Miasto;Częstochowa;Częstochowa, al. Najświętszej Maryi Panny 56;Modernizacja hali sportowej z bieżnią prostą 3-torową 80-metrową;647 800,00
454;śląskie;m. Dąbrowa Górnicza;Miasto;Dąbrowa Górnicza;Dąbrowa Górnicza, ul. Adamieckiego 12;Modernizacja krytej pływalni;672 000,00
455;śląskie;m. Gliwice;Miasto;Gliwice;Gliwice, ul. Pocztowa 31;Modernizacja boisk wielofunkcyjnych i bieżni prostej;350 300,00
456;śląskie;m. Gliwice;Miasto;Gliwice;Gliwice, ul. Tarnogórska 59;Modernizacja boisk: wielofunkcyjnego i piłkarskiego oraz urządzeń l.a.: bieżni okrężnej 200-metrowej i prostej 60-metrowej;449 300,00
457;śląskie;m. Gliwice;Miasto;Gliwice;Gliwice, ul. J. Ligonia 36;Modernizacja boisk wielofunkcyjnych i urządzeń l.a.: bieżni okrężnej 200-metrowej i prostej 60-metrowej;412 500,00
458;śląskie;m. Gliwice;Miasto;Gliwice;Gliwice, ul. Syriusza 30;Budowa stadionu lekkoatletycznego z boiskiem wielofunkcyjnym;4 500 000,00
459;śląskie;m. Jastrzębie-Zdrój;Miasto;Jastrzębie-Zdrój;Jastrzębie-Zdroj, ul. Bogoczowiec;Budowa boiska piłkarskiego i siłowni plenerowej;216 900,00
460;śląskie;m. Jastrzębie-Zdrój;Miasto;Jastrzębie-Zdrój;Jastrzębie-Zdroj, ul. Komuny Paryskiej 18c;Budowa boiska wielofunkcyjnego;237 400,00
461;śląskie;m. Katowice;Miasto;Katowice;Katowice, ul. Zadole 44a;Budowa boiska wielofunkcyjnego;178 000,00
462;śląskie;m. Mysłowice;Miasto;Mysłowice;Mysłowice, ul. Mikołaja Reja 28;Modernizacja boiska wielofunkcyjnego i bieżni prostej;84 500,00
463;śląskie;m. Mysłowice;Miasto;Mysłowice;Mysłowice, ul. Gwarków;Budowa sali gimnastycznej;1 279 700,00
464;śląskie;m. Piekary Śląskie;Gmina;Piekary Śląskie;Piekary Śląskie, ul. Drzymały 3;Remont budynku sali gimnastycznej;535 000,00
465;śląskie;m. Piekary Śląskie;Gmina;Piekary Śląskie;Piekary Śląskie, ul. Olimpijska 3;Remont boiska piłkarskiego z wymianą oświetlenia;499 500,00
466;śląskie;m. Ruda Śląska;Miasto;Ruda Śląska;Ruda Śląska, ul. Bytomska 15;Budowa budynku zaplecza szatniowego oraz oświetlenia boiska do rugby;776 100,00
467;śląskie;m. Sosnowiec;Gmina;Sosnowiec;Sosnowiec, ul. Zagłębiowska;Budowa boisk wielofunkcyjnych i bieżni prostej;101 000,00
468;śląskie;m. Tychy;Miasto;Tychy;Tychy, al. Bielska 100;Budowa kompleksu lekkoatletycznego;210 800,00
469;śląskie;m. Żory;Gmina Miejska;Żory;Żory, dzielnica Sikorskiego;Budowa boiska wielofunkcyjnego;109 000,00
470;śląskie;m. Żory;Gmina Miejska;Żory;Żory, ul. Strażacka 6;Budowa boiska wielofunkcyjnego;104 000,00
471;śląskie;m. Żory;Gmina Miejska;Żory;Żory, ul. Wodzisławska 201;Budowa boisk: wielofunkcyjnego i piłkarskiego i placu zabaw;415 000,00
472;śląskie;mikołowski;Miasto;Orzesze;Orzesze, ul. Karola Miarki 1A;Budowa boiska wielofunkcyjnego wraz z bieżnią prostą;153 000,00
473;śląskie;mikołowski;Gmina Miejska;Łaziska Górne;Łaziska Górne, ul. Dworcowa 1;Modernizacja sali gimnastycznej;457 000,00
474;śląskie;myszkowski;Gmina;Myszków;Myszków dzałka 8442/13;Budowa boiska piłkarskiego i ścieżki zdrowia z siłownią plenerową;292 300,00
475;śląskie;pszczyński;Gmina;Suszec;Suszec, ul. Szkolna;Modernizacja boiska piłkarskiego, bieżni okrężnej 200 m i prostej oraz rzutni do pchnięcia kulą;310 000,00
476;śląskie;raciborski;Gmina;Nędza;Nędza, ul. Jana Pawła II 41a;Budowa placu zabaw;55 000,00
477;śląskie;rybnicki;Gmina;Gaszowice;Gaszowice, ul. Rydułtowska 8;Modernizacja boiska wielofunkcyjnego;65 000,00
478;śląskie;tarnogórski;Gmina;Ożarowice;Zendek, ul. Jasionek, ul. Główna;Budowa boiska do sportów plażowych, siłowni plenerowej i modernizacja boiska wielofunkcyjnego;114 800,00
479;śląskie;tarnogórski;Gmina;Ożarowice;Ossy, ul. Strażacka ;Budowa tras rolkowych, boiska wielofunkcyjnego i piłkarskiego oraz siłowni plenerowej;304 500,00
480;śląskie;tarnogórski;Gmina;Zbrosławice;Miedary, ul. Główna 26;Budowa boiska piłkarskiego;90 800,00
481;śląskie;tarnogórski;Miasto;Kalety;Kalety, ul. Paderewskiego 93;Remont boiska piłkarskiego i wielofunkcyjnego;255 600,00
482;śląskie;wodzisławski;Miasto;Radlin;Radlin, ul. Wieczorka;Budowa skateparku;197 000,00
483;śląskie;wodzisławski;Miasto;Radlin;Radlin, ul. Rymera 170;Modernizacja boiska;82 000,00
484;śląskie;wodzisławski;Gmina Miasto;Wodziaław Śląski;Wodzisław Śląski, os. 1 Maja 16c;Modernizacja krytej pływalni;1 276 700,00
485;śląskie;wodzisławski;Gmina;Marklowice;Marklowice, ul. Wyzwolenia 160;Modernizacja boiska wielofunkcyjnego i budowa bieżni okrężnej 200-metrowej;107 600,00
486;śląskie;zawierciański;Gmina;Zawiercie;Zawiercie, ul. 11 Listopada 22;Budowa boisk wielofunkcyjnych, bieżni prostej, skoczni w dal, rzutni do pchnięcia kulą oraz siłowni plenerowej;202 600,00
487;świętokrzyskie;buski;Gmina;Wiślica;Wiślica, ul. Podwale 1;Budowa hali sportowej;2 075 600,00
488;świętokrzyskie;kielecki;Gmina;Sitkówka-Nowiny;Kowala, Kowala 51B;Budowa boiska wielofunkcyjnego;53 600,00
489;świętokrzyskie;kielecki;Gmina;Zagnańsk;Zagnańsk, ul. Turystyczna 59;Remont hali sportowej;126 700,00
490;świętokrzyskie;konecki;Powiat;Konecki;Stąporków, ul. Stanisława Staszica 4;Przebudowa boiska wielofunkcyjnego;84 800,00
491;świętokrzyskie;konecki;Gmina;Końskie;Miasto Końskie i miejscowość Nieświń;Budowa 8 placów zabaw;120 100,00
492;świętokrzyskie;konecki;Gmina;Smyków;Miedzierza, działka nr 256 i 257;Budowa boiska piłkarskiego;530 300,00
493;świętokrzyskie;m. Kielce;Miasto;Kielce;Kielce, al. Legionów 4;Budowa hali sportowej;1 522 800,00
494;świętokrzyskie;m. Kielce;Gmina;Kielce;Kielce, ul. Warszawska 338;Budowa hali sportowej;964 000,00
495;świętokrzyskie;pińczowski;Gmina;Michałów;Michałów, Michałów 115;Budowa boiska wielofunkcyjnego;168 700,00
496;świętokrzyskie;starachowicki;Gmina;Starachowice;Starachowice, ul. Słoneczna i Kopalniana;Budowa boiska wielofunkcyjnego;178 300,00
497;świętokrzyskie;staszowski;Miasto i Gmina;Połaniec;Połaniec, ul Żapniowska 1;Remont 2 boisk (piłkarskiego i wielofunkcyjnego) i remont oświetlenia w 2 salach gimnastycznych;202 300,00
498;świętokrzyskie;staszowski;Powiat;Staszowski;Staszów, ul. 11 Listopada 3;Remont boiska do piłki siatkowej i urządzeń lekkoatletycznych;140 700,00
499;świętokrzyskie;staszowski;Powiat;Staszowski;Połaniec, ul. Ruszczańska 23;Remont hali sportowej oraz 2 boisk zewnętrznych;277 200,00
500;świętokrzyskie;staszowski;Gmina;Staszów;Staszów, ul. Koszarowa;Modernizacja kompleksu lekkoatletycznego;722 100,00
501;warmińsko-mazurskie;bartoszycki;Gmina Miejska;Bartoszyce;Bartoszyce, ul. Korczaka;Budowa kortów tenisowych, budynku zaplecza, siłowni zewnętrznej, skateparku oraz toru dla rolek;450 000,00
502;warmińsko-mazurskie;braniewski;Gmina;Pieniężno;Pieniężno, ul. Parkowa działka 139/12, 140/30;Budowa sali gimnastycznej z zapleczem dydaktycznym;590 000,00
503;warmińsko-mazurskie;braniewski;Gmina;Pieniężno;Pieniężno, ul. Parkowa działka 139/12, 140/30;Budowa sali gimnastycznej z zapleczem dydaktycznym;107 400,00
504;warmińsko-mazurskie;działdowski;Gmina Miasto;Działdowo;Działdowo, ul. Męczenników;Budowa skateparku;100 000,00
505;warmińsko-mazurskie;działdowski;Gmina;Płośnica;Jabłonowo;Budowa boiska wielofunkcyjnego;50 000,00
506;warmińsko-mazurskie;ełcki;Gmina Miasto;Ełk;Ełk, ul. Piłsudskiego;Budowa boiska piłkarskiego i adatacja części pomieszczeń parku wodnego na zaplecze dla boiska;600 000,00
507;warmińsko-mazurskie;giżycki;COS;COS OPO w Giżycku;Giżycko, ul. Moniuszki 22;Zakup środka trwałego elektrycznego pojazdu transportowego;52 400,00
508;warmińsko-mazurskie;iławski;Gmina;Susz;Jawty Wielkie, działki nr 91/1, 94/4, 93;Budowa boiska wielofunkcyjnego;100 000,00
509;warmińsko-mazurskie;iławski;Gmina;Susz;Susz, ul. Wybickiego;Modernizacja kompleksu lekkoatletycznego;437 800,00
510;warmińsko-mazurskie;kętrzyński;Gmina;Korsze;Korsze, ul. Kościuszki 12;Budowa hali sportowej;294 400,00
511;warmińsko-mazurskie;kętrzyński;Gmina;Korsze;Korsze, ul. Kościuszki 12;Budowa hali sportowej;262 000,00
512;warmińsko-mazurskie;lidzbarski;Gmina;Orneta;Orneta, ul. Warmińska 11;Budowa kompleksu lekkoatletycznego;350 000,00
513;warmińsko-mazurskie;m. Elbląg;Gmina Miasto;Elbląg;Elbląg, ul. Agrykola 8;Budowa boiska do piłki ręcznej, boisk wielofunkcyjnych i kortów tenisowych oraz modernizacja boiska piłkarskiego w ramach przebudowy obiektu sportowego;500 000,00
514;warmińsko-mazurskie;m. Elbląg;Gmina Miasto;Elbląg;Elbląg, ul. Agrykola 8;Przebudowa toru wrotkarskiego;1 000 000,00
515;warmińsko-mazurskie;m. Elbląg;Gmina Miasto;Elbląg;Elbląg, ul. Modlińska 39;Budowa kompleksu lekkoatletycznego;350 000,00
516;warmińsko-mazurskie;m. Olsztyn;Stowarzyszenie;"Stowarzyszenie Edukacyjne ""Młodzież Przyszłością Regionu""";Olsztyn, ul. Kołobrzeska 9;Budowa hali tenisowej z łącznikiem;440 000,00
517;warmińsko-mazurskie;m. Olsztyn;Gmina;Olsztyn;Olsztyn, ulice: Żeromskiego, Wyspiańskiego, Grunwaldzka, Barcza;Budowa placu zabaw i zewnętrznych siłowni na osiedlu Nagorki i w rejonie pomiędzy ul. Wojska Polskiego, Jagiellońskiej, Żeromskiego oraz budowa toru rowerowego na osiedlu Grunwaldzkim;94 000,00
518;warmińsko-mazurskie;m. Olsztyn;Gmina;Olsztyn;Olsztyn, ul. Sybiraków;Budowa boiska piłkarskiego, bieżni prostej i skoczni do skoku w dal;395 600,00
519;warmińsko-mazurskie;mrągowski;Gmina Miasto;Mrągowo;Mrągowo, ul. Mrongpwiusza;Przebudowa budynku szatni z zapleczem sanitarnym;972 700,00
520;warmińsko-mazurskie;nowomiejski;Powiat;Nowomiejski;Kurzętnik, ul. Grunwaldzka 49;Budowa Sali gimnastycznej;950 000,00
521;warmińsko-mazurskie;nowomiejski;Gmina Miejska;Nowe Miasto Lubawskie;Nowe Miasto Lubawskie, ul. Jagiellońska 3;Budowa boisk: wielofunkcyjnego, piłkarskiego oraz bieżni prostej;720 000,00
522;warmińsko-mazurskie;nowomiejski;Gmina;Kurzętnik;Kurzętnik;Budowa taśmowego wyciągu narciarskiego;150 000,00
523;warmińsko-mazurskie;nowomiejski;Gmina;Kurzętnik;Kurzętnik;Budowa taśmowego wyciągu narciarskiego w ramach budowy Zimowego Parku Sportowo-Rekreacyjnego;47 000,00
524;warmińsko-mazurskie;olsztyński;Gmina;Kolno;Kolno, Kolno 29 A;Budowa sali gimnastycznej 35,9x18,9;700 000,00
525;warmińsko-mazurskie;olsztyński;Gmina;Jonkowo;Jonkowo, ul. Hanowskiego 29;Budowa bieżni prostej;50 000,00
526;warmińsko-mazurskie;olsztyński;Gmina;Stawiguda;Bartąg, Bartążek, Dorotowo, Gryźliny, Gągławki, Majdy, Miodówko, Plusaki, Rybaki, Stawiguda, Tomaszkowo;Budowa 11 siłowni plenerowych;50 000,00
527;warmińsko-mazurskie;ostródzki;Gmina;Dąbrówno;Dąbrówno, ul. Ostródzka 12;Modernizacja sali gimnastycznej;100 000,00
528;warmińsko-mazurskie;ostródzki;Gmina Miejska;Ostróda;Ostróda, ul. Wyszyńskiego;Modernizacja kompleksu lekkoatletycznego;1 300 000,00
529;warmińsko-mazurskie;ostródzki;Gmina;Miłomłyn;Miłomłyn, ul. Kościelna;Budowa kompleksu lekkoatletycznego;109 500,00
530;warmińsko-mazurskie;szczycieński;Powiat;Szczycieński;Szczytno, ul. Korczaka 4;Budowa sali gimnastycznej;755 000,00
531;warmińsko-mazurskie;szczycieński;Gmina;Szczytno;Rudka, działka nr 148;Budowa boiska wielofunkcyjnego i bieżni prostej;100 000,00
532;warmińsko-mazurskie;szczycieński;Gmina;Szczytno;Płozy, działka nr 115/11;Budowa boiska wielofunkcyjnego;80 000,00
533;warmińsko-mazurskie;szczycieński;Gmina;Szczytno;Lipowiec, dz. nr 90, 117/1, 117/3, 778;Budowa kompleksu lekkoatletycznego;163 000,00
534;wielkopolskie;czarnkowsko-trzcianecki;Gmina Miasta;Czarnków;Czarnków, ul Wroniecka 30;Budowa boiska piłkarskiego, bieżni okrężnej i prostej oraz skoczni do skoku w dal;591 200,00
535;wielkopolskie;czarnkowsko-trzcianecki;Gmina;Krzyż Wielkopolski;Krzyż Wielkopolski, ul. Sienkiewicza 1;Budowa kompleksu lekkoatletycznego;165 300,00
536;wielkopolskie;gnieźnieński;Miasto i Gmina;Trzemeszno;Kruchowo dz. Nr 191/4, 191/5, 191/7;Budowa sali gimnastycznej;955 000,00
537;wielkopolskie;gnieźnieński;Gmina Miasto;Gniezno;Gniezno, ul. Zabłockiego;Budowa hali sportowo-widowiskowej;9 000 000,00
538;wielkopolskie;jarociński;Inny;Jarocin Sport Sp. z o.o.;Mieszków, ul. Radliniecka 11;Budowa sali sportowej;386 800,00
539;wielkopolskie;kaliski;Gmina;Opatówek;Chełmce 3;Budowa boiska wielofunkcyjnego;119 100,00
540;wielkopolskie;kępiński;Gmina;Baranów;Donaborów, Donaborów 91;Budowa sali gimnastycznej;599 400,00
541;wielkopolskie;kolski;Gmina;Babiak;Bogusławice 85;Budowa boiska wielofunkcyjnego;115 300,00
542;wielkopolskie;kolski;Gmina;Kłodawa;Kłodawa, ul. Sportowa 1;Remont budynku zaplecza sanitarno-szatniowego;179 600,00
543;wielkopolskie;kościański;Powiat;Kościański;Kościan, ul. Wielichowska 43a;Budowa hali sportowej;1 800 000,00
544;wielkopolskie;kościański;Gmina Miejska;Kościan;Kościan, ul. Wojciecha Maya 26;Modernizacja kompleksu lekkoatletycznego;1 162 800,00
545;wielkopolskie;m. Leszno;Miasto;Leszno;Leszno, ul. 17 Stycznia 68;Modernizacja kompleksu lekkoatletycznego;243 800,00
546;wielkopolskie;międzychodzki;Inny;Międzychódzki Ośrodek Sportu Turystyki i Rekreacji Sp. z o.o;Międzychód, ul. Langiewicza 6;Budowa bieżni okrężnej 400 m oraz skoczni do skoku w dal i trójskoku;455 700,00
547;wielkopolskie;nowotomyski;Gmina;Opalenica;Opalenica, ul. Gimnazjalna 1;Termomodernizacja hali sportowej;325 700,00
548;wielkopolskie;ostrowski;Gmina;Przygodzice;Przygodzice, ul. Wysocka 2;Budowa hali sportowej oraz boiska wielofunkcyjnego;1 176 000,00
549;wielkopolskie;ostrowski;Gmina i Miasto;Nowe Skalmierzyce;Fabinów, ul. Szkolna 56;Budowa boiska wielofunkcyjnego;184 200,00
550;wielkopolskie;ostrowski;Gmina i Miasto;Odolanów;Odolanów, ul Franciszka Sójki;Budowa zaplecza szatniowo-sanitarnego;114 000,00
551;wielkopolskie;ostrowski;Gmina Miasto;Ostrów Wielkopolski;Ostrów Wielkopolski, ul. Staroprzygodzka 112;Budowa kompleksu lekkoatletycznego;84 100,00
552;wielkopolskie;pilski;Gmina;Piła;Piła, ul. Świteź i Sportowa;Remont i adaptacja pomieszczeń magazynowych na sale sportowe;342 300,00
553;wielkopolskie;pilski;Gmina;Piła;Piła, ul. Żeromskiego 90;Remont i rozbudowa stadionu lekkoatletycznego - II etap;1 000 000,00
554;wielkopolskie;poznański;Gmina;Komorniki;Komorniki, ul. Staszica 25;Budowa sali gimnastycznej wraz z zapleczem;791 000,00
555;wielkopolskie;poznański;Gmina;Czerwonak;Koziegłowy, ul. Piłsudskiego 3;Remont wentylacji na pływalni;170 000,00
556;wielkopolskie;rawicki;Gmina;Jutrosin;Szkaradowo;Budowa sali gimnastycznej i boiska wielofunkcyjnego;1 260 800,00
557;wielkopolskie;słupecki;Gmina;Słupca;Poniatówek działka 58;Budowa hali sportowej;205 184,00
558;wielkopolskie;słupecki;Gmina Miejska;Słupca;Słupca, ul. Kopernika 13;Remont hali sportowej MOSiR;353 600,00
559;wielkopolskie;słupecki;Powiat;Słupecki;Słupca, Plac Szkolny 1;Remont sali gimnastycznej;108 200,00
560;wielkopolskie;szamotulski;Powiat;Szamotulski;Szamotuły, ul. Mickiewicza 9;Remont boiska wielofunkcyjnego, boiska do piłki plażowej, bieżni lekkoatletycznej i skoczni do skoku w dal;367 600,00
561;wielkopolskie;średzki;Gmina;Zaniemyśl;Zaniemyśl, ul. Poznańska 28;Budowa hali widowiskowo-sportowej;1 800 000,00
562;wielkopolskie;średzki;Gmina;Środa Wielkopolska;Środa Wielkopolska, ul. 20 Października 2;Budowa hali sportowej;1 758 900,00
563;wielkopolskie;średzki;Powiat;Średzki;Środa Wielkopolska, ul. Kosynierów 2b;Budowa kompleksu lekkoatletycznego;1 300 000,00
564;wielkopolskie;turecki;Gmina;Przykona;Przykona, ul. Nowa;Budowa kompleksu lekkoatletycznego;350 000,00
565;wielkopolskie;wągrowiecki;Gmina;Wągrowiec;Wągrowiec, ul. Kolejowa 14;Remont sali gimnastycznej;127 000,00
566;wielkopolskie;wągrowiecki;Gmina;Skoki;Skoki, ul. Parkowa 10;Przebudowa boiska piłkarskiego;291 300,00
567;wielkopolskie;złotowski;Gmina;Złotów;Radawnica, ul. Szkolna 2, dz. 587;Budowa hali sportowej;1 209 500,00
568;wielkopolskie;złotowski;Gmina i Miasto;Krajenka;Krajenka, ul. St. Polańskiego 3;Budowa kompleksu lekkoatletycznego;194 400,00
569;zachodniopomorskie;drawski;Gmina;Drawsko Pomorskie;Drawsko Pomorskie, ul. Gajowa;Budowa skateparku - I etap;348 000,00
570;zachodniopomorskie;goleniowski;Gmina;Goleniów;Goleniów, ul. K.C. Norwida 1;Budowa hali sportowej;2 000 000,00
571;zachodniopomorskie;goleniowski;Powiat;Goleniowski;Goleniów, ul. Niepodległości 1 i Maszewska 6;Budowa boisk wielofunkcyjnych, bieżni prostej i skoczni w dal;417 000,00
572;zachodniopomorskie;gryficki;Gmina;Karnice;Cerkwica, ul. Boczna;Budowa budynku zaplecza dla stadionu sportowego z boiskiem piłkarskim;226 900,00
573;zachodniopomorskie;kamieński;Gmina;Wolin;Wolin, ul. Spokojna 1;Modernizacja kompleksu lekkoatletycznego;900 000,00
574;zachodniopomorskie;koszaliński;Gmina;Mielno;Mielno, Mickiewicza;Budowa budynku zaplecza dla stadionu;739 400,00
575;zachodniopomorskie;łobeski;Gmina;Resko;Resko i Łosośnica;Modernizacja budynku zaplecza w Resku oraz boiska sportowego w Łosienicy;109 100,00
576;zachodniopomorskie;m. Szczecin;Szkoła/Uczelnia;Zachodniopomorski Uniwersytet Technologiczny w Szczecinie;Szczecin, ul. Tenisowa 33;Modernizacja hali sportowej;725 900,00
577;zachodniopomorskie;m. Szczecin;Gmina Miasto;Szczecin;Szczecin, al. Wojska Polskiego 127;Budowa hali tenisowej wraz z zapleczem;2 000 000,00
578;zachodniopomorskie;m. Świnoujście;Gmina Miasto;Świnoujście;Świnoujście, ul. Matejki 22;Przebudowa areny lekkoatletycznej stadionu miejskiego: bieżni okólnej, boiska piłkarskiego, skoczni, rzutni;1 485 000,00
579;zachodniopomorskie;m. Świnoujście;Gmina Miasto;Świnoujście;Świnoujście, ul. Białoruska;Przebudowa boiska piłkarskiego;1 000 000,00
580;zachodniopomorskie;szczecinecki;Miasto;Szczecinek;Szczecinek, ul. Krakowska;Rozbudowa sali gimnastycznej o segment z bieżnią lekkoatletyczną;414 000,00
581;zachodniopomorskie;szczecinecki;Powiat;Szczecinecki;Szczecinek, Staszica 15;Budowa stadionu lekkoatletycznego z budynkiem zaplecza;3 000 000,00
582;zachodniopomorskie;wałecki;COS;COS OPO w Wałczu;Wałcz, al.. Zdobywców Wału Pomorskiego 99;Zakup środków trwałych dla toru wioślarskiego: kadłuby łodzi motorowych, silniki spalinowe, wózek akumulatorowy;201 000,00
